indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory condition that affects the airways, making it difficult for the lungs to expand and contract properly. Here are some key points about asthma:

1. **Causes**: The exact cause of asthma is unknown, but it's believed to be a combination of genetic and environmental factors. Inhaling allergens, pollutants, or irritants can trigger asthma symptoms.

2. **Symptoms**: Common symptoms include wheezing, chest tightness, shortness of breath, coughing, and a feeling of breathlessness. Some people may also experience episodes of bronchospasm, where the airways narrow, leading to increased mucus production and difficulty breathing.

3. **Causes**: Asthma can cause inflammation and narrowing of the airways, making it harder for air to reach the lungs. This inflammation is typically triggered by factors such as allergens, irritants, exercise, or infections.

4. **Treatment**: Asthma is a chronic condition, which means it needs to be managed over a long period. Treatment typically involves a combination of medications, lifestyle changes, and regular check-ups with a healthcare professional. These may include:

   - **Asthma medications**: These help to prevent or treat asthma symptoms by relaxing the muscles around the airways, reducing inflammation, and allowing the airways to expand more easily. Common types include inhaled corticosteroids, long-acting beta-2 agonists, and leukotriene modifiers.

   - **Controller medications**: These are taken daily to help manage asthma symptoms. They include the above-mentioned medications, as well as theophylline, which works by relaxing airway smooth muscles.

   - **Preventive medications**: These are taken when symptoms flare up. They include albuterol (a quick-relief medication), leukotriene receptor antagonists, and inhaled ipratropium.

   - **Lifestyle changes**: Regular exercise, maintaining a healthy weight, avoiding triggers, and quitting smoking can help manage asthma.

5. **Prevention**: Some triggers can be prevented, such as exposure to allergens, pollen, or cold air. Regular exercise can also help manage asthma, but it's crucial to consult with a healthcare professional before starting any new exercise program.

6. **Diagnosis**: A healthcare professional may use a variety of tests, including spirometry, which measures the volume and force of air expelled from the lungs, and allergy tests, such as skin prick tests or blood tests, to diagnose asthma.

7. **Prognosis**: With proper management, asthma can be well-controlled and even well-managed. However, long-term complications can occur if left untreated, including the development of chronic bronchitis and emphysema.",0.656887,0.726788,0.690072,0.0,0.259188,0.050485,0.131528
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways plays a significant role in the development and exacerbation of asthma symptoms. Here's a breakdown of how it affects asthma:

1. Airway Reactivity: Inflammation makes the airways more reactive to common triggers like allergens, irritants, or exercise. This heightened reactivity can lead to worsening of asthma symptoms.

2. Bronchoconstriction: Inflammation causes the walls of the airways to thicken and become more rigid, leading to bronchoconstriction – an narrowing of the airways. This results in symptoms like wheezing, chest tightness, and shortness of breath.

3. Increased Mucus Production: Inflammation can also cause the airways to produce excess mucus, which can further obstruct the airways and exacerbate symptoms.

4. Lung Function Impairment: Chronic inflammation can lead to permanent changes in the lungs, including the development of emphysema, a condition characterized by the destruction of the alveoli (air sacs), which is a significant cause of severe asthma symptoms.

5. Asthma Exacerbations: Severe inflammation in the airways can lead to asthma exacerbations, which are episodes of worsening symptoms that require immediate medical attention.

6. Long-term Impact: Long-term inflammation can lead to persistent asthma, which may require ongoing medication and lifestyle modifications.

7. Comorbidities: Inflammation of the airways can also contribute to other health problems, such as chronic bronchitis, COPD, and even cardiovascular diseases.

It's important to note that the extent and impact of inflammation on asthma can vary greatly from person to person. Management of asthma often involves a combination of asthma control strategies, medications, and lifestyle modifications to minimize inflammation and manage symptoms effectively.",0.687106,0.734926,0.710212,0.059882,0.358839,0.106101,0.189974
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways is a process where the lining of the airways (bronchial tubes and bronchioles) becomes irritated and swollen due to various triggers or underlying conditions. This can lead to symptoms such as wheezing, coughing, and shortness of breath. The inflammation can be caused by factors like allergens, irritants, viruses, or bacterial infections, and it triggers an immune response. It's important to note that this is a general explanation, and the specifics can vary based on the individual's condition and the underlying cause.",0.703652,0.798724,0.74818,0.075787,0.372881,0.189655,0.237288
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a chronic inflammatory disorder of the airways that affects the airways of the lungs, making it difficult for the individual to breathe. It is not considered a disease, but rather a condition where the airways become hyper-responsive to various triggers, leading to inflammation and narrowing of the airways.

Individuals who are at a higher risk of developing asthma include:

1. Family history: If a family member has asthma, there is an increased risk of developing the condition.
2. Allergens: Specific allergens like dust mites, pet dander, mold, and pollen can trigger asthma symptoms in some individuals.
3. Genetics: Some people have a genetic predisposition to asthma, meaning they are more likely to develop the condition.
4. Age: Asthma tends to develop in childhood and is more common in children than in adults.
5. Gender: Women are more likely to develop asthma than men.
6. Socioeconomic status: Individuals from lower socioeconomic backgrounds may have a higher prevalence of asthma due to factors such as poor access to healthcare and housing conditions.
7. Environment: Exposure to tobacco smoke and air pollution can increase the risk of asthma development.

It's important to note that asthma can develop at any age, but it's most commonly diagnosed in children under the age of 18. The symptoms of asthma, such as wheezing, shortness of breath, chest tightness, and coughing, are not life-threatening but can significantly impact a person's quality of life. Regular check-ups and management of asthma are crucial to help individuals lead healthier lives.",0.682298,0.777853,0.726949,0.048682,0.269461,0.120482,0.173653
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma typically starts developing in early childhood, usually before the age of 5. However, it can also manifest in adolescence and even adulthood. The exact age at which asthma can first be identified can vary greatly from person to person. It's important to note that asthma can be a lifelong condition, and early diagnosis and treatment can significantly improve quality of life for those affected. Regular health check-ups and lifestyle modifications are crucial for managing asthma.",0.689452,0.758633,0.72239,0.041397,0.254237,0.068966,0.152542
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a chronic respiratory condition that affects the airways, making it difficult for the lungs to expand and contract, which can cause symptoms like difficulty breathing, wheezing, coughing, and chest tightness. The exact cause of asthma is not fully understood, but it's believed to be a combination of genetic and environmental factors.

1. Genetic Factors: People who have a family history of asthma, particularly in their parents, are more likely to develop the condition. Certain genes are associated with the immune system's response to allergens and infections, which can contribute to asthma development.

2. Environmental Factors: These include exposure to allergens (like dust mites, pollen, or pet dander), air pollution, cold air, and exercise. Some people may also be more sensitive to air pollutants due to their immune system's heightened response.

3. Infections: Prolonged or repeated infections, such as those by viruses or bacteria, can trigger asthma symptoms. This is known as a ""type 2"" inflammatory response in the airways.

4. Hormones: Some hormones, like cortisol and adrenaline, can affect the immune system and airway inflammation in people with asthma.

5. Emotional Factors: Stress and anxiety can trigger asthma symptoms, although the exact relationship is not fully understood.

6. Smoking: Smoking, particularly during childhood, can lead to asthma and make symptoms worse. This is due to the irritant properties of smoke and the direct effects of smoking on the airways.

It's important to note that having a family history of asthma or experiencing a first-degree relative with the condition increases the risk. However, not everyone with asthma will have a genetic predisposition, and not everyone who experiences an allergic reaction or infection will develop asthma.

Treatment for asthma often involves managing symptoms through medication, avoiding triggers, and maintaining good overall health. If you suspect you have asthma, it's essential to consult with a healthcare professional for proper diagnosis and management.",0.655731,0.756436,0.702493,0.020152,0.212435,0.052083,0.139896
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is indeed classified as a chronic disease. A chronic disease is one that has a long-term effect on health and is typically characterized by recurring symptoms, health issues, or abnormalities over a period of time. Asthma is a respiratory condition that causes inflammation and narrowing of the airways, leading to recurring symptoms such as wheezing, chest tightness, and shortness of breath. These symptoms are typically more severe and persistent than what one would experience with a more acute respiratory infection or allergic reaction.

The chronic nature of asthma is why it often requires ongoing management, including medications, lifestyle modifications, and, in some cases, inhaled or oral steroids, for effective control and prevention of flare-ups. It's important to note that while asthma is a chronic disease, it can vary greatly from one individual to another, and with proper management, many people with asthma can lead relatively normal, healthy lives.",0.735333,0.756893,0.745957,0.088708,0.33935,0.123636,0.202166
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there is a risk that asthma can worsen with age, especially in certain populations. Here are a few factors that might contribute to this:

1. **Decreased Lung Function**: As people age, their lung function may decline due to factors like decreased lung elasticity, reduced maximum inhalation volume, and stiffening of the respiratory muscles.

2. **Respiratory Diseases**: Age-related changes in the respiratory system, such as the development of emphysema or chronic bronchitis, can lead to an increase in asthma symptoms.

3. **Medication Adherence**: Older adults may have more difficulty adhering to prescribed medications, including bronchodilators and corticosteroids, which can worsen asthma symptoms.

4. **Poor Lifestyle Habits**: Smoking, obesity, and physical inactivity are risk factors for asthma, and as people age, these habits may become more prevalent.

5. **Hormonal Changes**: Some older adults may experience hormonal changes that can trigger asthma attacks, especially in those with a family history of asthma.

6. **Deconditioning**: Aging can lead to a decrease in physical fitness, which can increase the risk of asthma exacerbations.

7. **Pneumonia and Other Respiratory Infections**: Older adults are at higher risk for pneumonia and other respiratory infections, which can worsen asthma symptoms.

If you or someone else is experiencing worsening asthma symptoms with age, it's important to consult with a healthcare provider for personalized advice and care. Regular follow-ups and the use of asthma management tools can help maintain a healthy level of asthma control.",0.656939,0.763974,0.706425,0.0,0.251534,0.024691,0.134969
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Asthma is not inherently worse for older adults. While older adults may experience more frequent and severe asthma attacks compared to younger individuals, the underlying cause and severity of the disease are similar. The main challenge with managing asthma in older adults is often managing comorbidities and polypharmacy (the use of multiple medications).

Older adults generally have similar asthma symptoms and responses to asthma medications as younger individuals. However, they may experience a worsening of symptoms due to age-related changes such as reduced lung function, decreased physical activity, and changes in lung elasticity.

Common asthma triggers in older adults include cold air, allergens, and environmental pollutants. It's crucial to manage these triggers and manage medications as needed to maintain quality of life.

Regular exercise, maintaining a healthy weight, and regular check-ups with healthcare providers are essential for managing asthma in older adults. It's also important to educate them about the importance of asthma management and how to prevent asthma attacks.

In summary, while asthma in older adults may manifest differently than in younger individuals, the disease itself is not worse. The key is to provide appropriate care and support to help manage symptoms and improve quality of life.",0.715913,0.719009,0.717457,0.0,0.320917,0.040346,0.154728
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic inflammatory disease of the airways characterized by reversible airway hyperresponsiveness, inflammation, and airway remodeling, leading to bronchoconstriction, mucus production, and increased mucus production. The exact cause of asthma is not fully understood, but it is believed to be a combination of genetic, environmental, and lifestyle factors.

Key aspects of asthma include:

1. **Airway inflammation**: Inflammatory cells like mast cells, eosinophils, and T-cells are recruited to the airways, leading to bronchoconstriction, increased mucus production, and reduced airflow.

2. **Airway remodeling**: Chronic inflammation causes the airways to narrow, thicken, and become more fragile, which can lead to the development of bronchial asthma.

3. **Bronchoconstriction**: This is the most common symptom of asthma, causing the airways to narrow or constrict, making it difficult to breathe.

4. **Increased mucus production**: The inflammation in the airways leads to increased mucus production, which can further obstruct the airways and cause symptoms.

5. **Exposure to triggers**: Environmental factors such as allergens, viruses, exercise, and irritants like tobacco smoke, dust mites, and pollution can trigger asthma symptoms.

6. **Impaired airway clearance**: Difficulty clearing mucus from the airways can exacerbate asthma symptoms.

7. **Treatment**: Management of asthma often involves a combination of medications, including inhaled corticosteroids, long-acting beta-2 agonists (e.g., albuterol), leukotriene modifiers, and inhaled cromoglicic acid. In some cases, biologic therapies may be used to target specific inflammatory pathways.

8. **Asthma control**: Asthma management is not about suppressing symptoms but about maintaining long-term control of the disease. This involves regular asthma action planning, regular monitoring of symptoms, and prompt use of reliever medications when symptoms worsen.

9. **Prevalence**: Asthma is a common condition, affecting approximately 300 million people worldwide, with prevalence rates varying by region and age.

10. **Asthma prevention**: Efforts to prevent asthma include vaccination of infants and young children, reducing exposure to allergens, promoting good hygiene, and providing early identification and management of symptoms.",0.721075,0.740683,0.730747,0.074152,0.362805,0.082569,0.185976
