indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory disease that causes inflammation and narrowing of the airways in the lungs. This narrowing makes it difficult to breathe and can cause symptoms like wheezing, coughing, chest tightness, and shortness of breath.

Here's a more detailed breakdown:

*   **Inflammation:** The airways become inflamed, meaning they are swollen and irritated. This inflammation makes the airways more sensitive to triggers.

*   **Bronchospasm:** The muscles around the airways tighten, causing the airways to narrow. This is called bronchospasm.

*   **Mucus Production:** The airways produce more mucus than usual, which further clogs the airways and makes it harder to breathe.

These three factors – inflammation, bronchospasm, and mucus production – work together to obstruct airflow and cause asthma symptoms.

**Key Characteristics of Asthma:**

*   **Chronic:** Asthma is a long-term condition that can last for years.
*   **Variable:** Asthma symptoms can vary in severity and frequency. Some people have mild symptoms that occur only occasionally, while others have more severe symptoms that occur more often.
*   **Reversible:** Asthma symptoms can be reversed, at least partially, with medication.
*   **Not Life-Threatening (Usually):** While severe asthma attacks can be life-threatening, most people with asthma can live normal, active lives with proper management.

**Triggers:**

Asthma symptoms can be triggered by a variety of factors, including:

*   Allergens (e.g., pollen, dust mites, pet dander, mold)
*   Irritants (e.g., smoke, air pollution, strong odors)
*   Respiratory infections (e.g., colds, flu)
*   Exercise
*   Cold air
*   Stress
*   Certain medications (e.g., aspirin, beta-blockers)
*   Weather changes

**Diagnosis:**

Asthma is typically diagnosed based on a person's symptoms, medical history, and lung function tests, such as spirometry.

**Management:**

Asthma management involves a combination of:

*   **Medications:**
    *   **Controller medications:** Taken daily to reduce inflammation and prevent symptoms. Examples include inhaled corticosteroids (ICS), long-acting beta-agonists (LABAs), leukotriene modifiers, and theophylline.
    *   **Reliever medications:** Taken as needed to quickly relieve symptoms. Examples include short-acting beta",0.662544,0.747981,0.702675,0.038087,0.321267,0.086364,0.162896
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Okay, let's break down how airway inflammation impacts asthma.

**Airway Inflammation: The Core of Asthma**

Asthma is fundamentally a chronic inflammatory disease of the airways. This means that the lining of your bronchial tubes (the airways that carry air to and from your lungs) becomes inflamed and irritated. This inflammation is the primary driver of the characteristic symptoms of asthma, such as wheezing, coughing, shortness of breath, and chest tightness.

Here's a more detailed explanation of how inflammation affects your asthma:

1.  **Increased Airway Sensitivity:**

    *   Inflammation makes the airways more sensitive to various triggers. This means that even things that wouldn't normally cause a problem (like cold air, exercise, or allergens) can trigger an asthma attack.
    *   The inflamed airways react more strongly to these triggers, leading to bronchospasm (tightening of the muscles around the airways) and increased mucus production.

2.  **Bronchospasm (Airway Constriction):**

    *   Inflammation causes the muscles surrounding the airways to tighten (bronchospasm). This narrowing of the airways makes it harder to breathe.
    *   The inflammatory mediators (chemicals released during inflammation) directly stimulate the smooth muscles in the airways to contract.

3.  **Mucus Production:**

    *   Inflammation increases the production of mucus in the airways. This excess mucus further obstructs the airways, making it even harder to breathe.
    *   The inflamed cells in the airway lining release more mucus-producing cells.

4.  **Airway Hyperreactivity:**

    *   Chronic inflammation leads to airway hyperreactivity, meaning the airways become overly sensitive and reactive to stimuli.
    *   This hyperreactivity is a hallmark of asthma and contributes to the unpredictable nature of the disease.

5.  **Impaired Airflow:**

    *   The combination of bronchospasm, mucus production, and airway narrowing results in impaired airflow. This is the core problem that causes the symptoms of asthma.
    *   The airways are physically restricted, making it difficult for air to move in and out of the lungs.

**In Summary:**

Airway inflammation in asthma creates a vicious cycle:

*   **Trigger** -> **Inflammation** -> **Bronchospasm** -> **Mucus Production** -> **Impaired Airflow** -> **Symptoms**

**Evidence-Based Points:**

*   **Bi",0.680147,0.734762,0.7064,0.036169,0.316027,0.117914,0.180587
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways is a key component of asthma, and it's what causes the characteristic symptoms like wheezing, coughing, shortness of breath, and chest tightness. Here's a breakdown of what it means:

**What is Inflammation?**

Inflammation is the body's natural response to injury or irritation. It's a complex process involving various cells, chemicals, and blood vessels that work together to protect the body from harm and promote healing. In the context of asthma, inflammation is an *uncontrolled* and *chronic* process in the airways.

**How Does Inflammation Occur in Asthma?**

In asthma, inflammation is primarily driven by an exaggerated immune response to triggers. These triggers can include:

*   **Allergens:** Pollen, dust mites, pet dander, mold spores
*   **Irritants:** Smoke, air pollution, strong odors, chemical fumes
*   **Respiratory Infections:** Viral infections (like the common cold)
*   **Exercise:** Especially in cold, dry air
*   **Weather Changes:** Cold air, humidity
*   **Stress:** Emotional stress can worsen asthma symptoms.
*   **Medications:** Aspirin, NSAIDs (ibuprofen, naproxen) in some individuals

When these triggers are encountered, the immune system in the airways becomes overactive. This leads to:

1.  **Increased Blood Flow:** More blood vessels dilate (vasodilation) in the airways, bringing more immune cells to the area.
2.  **Immune Cell Activation:** Immune cells, such as mast cells, eosinophils, and T lymphocytes, become activated.
3.  **Release of Inflammatory Mediators:** These immune cells release various chemicals (mediators) that contribute to inflammation. Key mediators include:
    *   **Histamine:** Causes bronchoconstriction (narrowing of the airways), increased mucus production, and inflammation.
    *   **Leukotrienes:** Cause bronchoconstriction, mucus production, and airway hyperresponsiveness (increased sensitivity to triggers).
    *   **Prostaglandins:** Contribute to inflammation and bronchoconstriction.
    *   **Cytokines:** These signaling molecules amplify the inflammatory response and recruit more immune cells.
4.  **Airway Changes:** The inflammation leads to several changes in the airways:
    *   **Swelling (Edema):** The airway walls thicken, making it harder for air to pass through.",0.593501,0.743725,0.660175,0.0,0.120846,0.042553,0.102719
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a chronic respiratory disease that can affect people of all ages, races, and genders. However, it is most commonly diagnosed in children.

Here's a more detailed breakdown:

*   **Children:** Asthma is the most common chronic disease in children. It often starts in early childhood, with many children developing asthma before the age of 5.

*   **Adults:** While less common than in children, asthma can also develop in adults. Asthma in adults is often associated with allergies, respiratory infections, and exposure to irritants.

*   **Race and Gender:** Asthma prevalence varies among different racial and ethnic groups. For example, asthma is more common in African American children and adults than in Caucasian children and adults. There are also some gender differences, with asthma being more common in females than in males, particularly in adults.

*   **Environmental Factors:** Exposure to environmental factors such as allergens (pollen, dust mites, pet dander), irritants (smoke, air pollution), and respiratory infections can increase the risk of developing asthma.

*   **Genetics:** There is a genetic component to asthma. If you have a family history of asthma or allergies, you are more likely to develop asthma.

In summary, asthma can affect anyone, but it is most common in children and can be influenced by a combination of genetic predisposition, environmental factors, and exposure to triggers.",0.688996,0.777404,0.730535,0.059132,0.309278,0.103806,0.164948
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma can start at any age, but it's most commonly diagnosed in childhood. Here's a breakdown:

*   **Childhood Onset:** Asthma is most frequently diagnosed in children between the ages of 2 and 6 years old. This is often when children start school and are exposed to more potential triggers like allergens and irritants.

*   **Adult Onset:** Asthma can also develop in adulthood, often after a respiratory infection, exposure to irritants (like smoke or chemicals), or a stressful event. While less common, adult-onset asthma is a real condition.

*   **Infancy:** Asthma can sometimes be diagnosed in infants, but it's less common.

**Important Considerations:**

*   **Diagnosis:** Asthma diagnosis involves a combination of medical history, physical examination, and lung function tests (like spirometry).
*   **Variability:** The age of onset can vary significantly from person to person. Some individuals may develop asthma early in life, while others may not experience symptoms until adulthood.
*   **Triggers:** Identifying and avoiding triggers is crucial for managing asthma, regardless of age.

**In summary, while childhood is the most common age of onset, asthma can occur at any age.**",0.601552,0.760997,0.671945,0.032674,0.183486,0.074074,0.146789
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Okay, I can definitely provide some information about the causes of asthma. It's a complex condition, and the exact cause isn't fully understood, but we know it involves a combination of genetic and environmental factors. Here's a breakdown:

**Asthma is a chronic inflammatory disease of the airways in the lungs. This inflammation causes the airways to narrow and swell, producing extra mucus. This combination of inflammation and mucus makes it difficult to breathe.**

Here's a more detailed explanation of the contributing factors:

*   **Genetic Predisposition:**
    *   Asthma tends to run in families. If you have a parent or sibling with asthma, you're more likely to develop it.
    *   Specific genes have been linked to an increased risk of asthma, but it's usually not a single gene that's responsible. Instead, it's likely a combination of multiple genes that make someone more susceptible.
    *   These genes can affect the immune system, the airways' structure, and the lungs' ability to clear mucus.

*   **Environmental Factors:**
    *   **Allergens:** These are substances that trigger an allergic reaction in the airways. Common allergens include:
        *   **Pollen:** From trees, grasses, and weeds.
        *   **Dust mites:** Tiny creatures that live in dust.
        *   **Pet dander:** Skin flakes from animals with fur or feathers.
        *   **Mold:** Fungi that grow in damp environments.
        *   **Cockroach allergens:** Proteins found in cockroach droppings and body parts.
    *   **Irritants:** These are substances that can irritate the airways and trigger asthma symptoms. Common irritants include:
        *   **Air pollution:** Smog, ozone, particulate matter.
        *   **Smoke:** Cigarette smoke, wood smoke, wildfire smoke.
        *   **Chemical fumes:** Cleaning products, paints, perfumes.
        *   **Strong odors:** Perfumes, cleaning products.
    *   **Respiratory Infections:** Viral infections, such as colds and the flu, can trigger asthma symptoms, especially in children. These infections can cause inflammation and swelling of the airways.
    *   **Occupational Exposures:** Certain jobs can expose people to irritants or allergens that trigger asthma. Examples include:
        *   **Construction workers:** Exposure to dust, fumes, and chemicals.
        *   **Farmers",0.609033,0.738019,0.66735,0.0,0.230366,0.057895,0.162304
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is a chronic disease.

**Explanation:**

Asthma is a chronic inflammatory disease of the airways characterized by:

*   **Airway inflammation:** The lining of the airways becomes inflamed and swollen.
*   **Bronchoconstriction:** The muscles around the airways tighten, narrowing the airways.
*   **Excess mucus production:** The airways produce more mucus than normal, further obstructing airflow.

These features can cause recurring periods of wheezing, breathlessness, chest tightness, and coughing.

**Chronic Nature:**

The key characteristic of asthma is that these symptoms can be persistent and unpredictable, occurring at any time, even without an obvious trigger. This ongoing inflammation and airway reactivity means that asthma is a chronic condition that requires ongoing management.

**Management:**

Because asthma is chronic, management focuses on controlling symptoms, preventing exacerbations (flare-ups), and improving quality of life. This typically involves:

*   **Medications:** Inhaled corticosteroids (ICS) are the cornerstone of asthma control, reducing airway inflammation. Bronchodilators (like albuterol) are used to quickly relieve symptoms during an attack. Leukotriene modifiers and other medications may also be used.
*   **Trigger avoidance:** Identifying and avoiding triggers (allergens, irritants, exercise, etc.) can help reduce the frequency and severity of asthma symptoms.
*   **Asthma action plan:** A personalized asthma action plan helps individuals and their healthcare providers manage asthma effectively, including recognizing early warning signs of an exacerbation and knowing how to respond.
*   **Regular monitoring:** Regular check-ups with a healthcare provider are essential to assess asthma control, adjust medications as needed, and monitor for any complications.

**In summary, asthma is a chronic condition that requires ongoing management to control symptoms and prevent exacerbations.**",0.656918,0.72575,0.689621,0.031197,0.291005,0.069149,0.179894
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there is a risk that your asthma can worsen with age, although the severity and nature of the worsening can vary significantly from person to person. Here's a breakdown of why and what to consider:

**Why Asthma Can Worsen with Age:**

*   **Changes in Lung Function:** As we age, our lungs naturally lose some elasticity and function. This can make it harder to breathe and can exacerbate asthma symptoms.
*   **Increased Exposure to Irritants:** Older adults may be more likely to be exposed to environmental irritants like air pollution, allergens, and tobacco smoke, which can trigger asthma attacks.
*   **Underlying Health Conditions:** Older adults are more likely to have other health conditions like heart disease, diabetes, and osteoporosis, which can affect lung function and asthma control.
*   **Medication Interactions:** Older adults may be taking multiple medications, which can increase the risk of side effects and drug interactions that affect asthma control.
*   **Decreased Immune Function:** As we age, our immune system may become less effective at fighting off infections, which can trigger asthma symptoms.
*   **Changes in Lifestyle:** Older adults may experience changes in lifestyle, such as decreased physical activity, which can lead to weight gain and increased risk of respiratory infections.
*   **Reduced Adherence to Treatment:** Older adults may have difficulty remembering to take their medications or follow their asthma action plan, which can lead to poor asthma control.

**How to Manage Asthma and Prevent Worsening:**

*   **Regular Monitoring:** Work closely with your doctor to monitor your asthma control and adjust your treatment plan as needed. This may involve regular lung function tests (spirometry).
*   **Medication Adherence:** Take your asthma medications exactly as prescribed, even when you are feeling well.
*   **Asthma Action Plan:** Develop and follow an asthma action plan with your doctor. This plan should outline what to do in case of an asthma attack.
*   **Trigger Avoidance:** Identify and avoid your asthma triggers, such as allergens, irritants, and exercise.
*   **Vaccinations:** Get vaccinated against influenza and pneumonia, as these infections can worsen asthma.
*   **Healthy Lifestyle:** Maintain a healthy weight, eat a balanced diet, and get regular exercise.
*   **Smoking Cessation:** If you smoke, quit. Smoking is a major trigger for asthma and can worsen lung function.
*   **Regular Check-ups:** See your doctor regularly",0.639311,0.744565,0.687935,0.0,0.202643,0.022124,0.127753
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Okay, let's address the question: ""Is asthma worse getting older?""

The answer is **yes, asthma can become more challenging to manage as you age.** While asthma can be diagnosed at any age, the way it presents and the severity of symptoms often change with increasing age. Here's a breakdown of why:

*   **Changes in Lung Function:** As we age, our lungs naturally lose some elasticity and function. This can make it harder to breathe, especially during exercise or when exposed to triggers. This decline in lung function can exacerbate asthma symptoms.

*   **Increased Prevalence of Co-morbidities:** Older adults are more likely to have other health conditions like heart disease, diabetes, and osteoporosis. These conditions can interact with asthma, making it harder to control and increasing the risk of complications. For example, heart failure can worsen asthma symptoms, and certain medications used to treat heart conditions can also affect asthma control.

*   **Changes in Immune System:** The immune system naturally weakens with age, which can make older adults more susceptible to respiratory infections. These infections can trigger asthma flare-ups and make it harder to recover.

*   **Medication Interactions:** Older adults are more likely to be taking multiple medications for various conditions. These medications can interact with asthma medications, potentially reducing their effectiveness or increasing the risk of side effects.

*   **Decreased Adherence to Treatment:** Older adults may have difficulty remembering to take their medications, follow their asthma action plan, or recognize early warning signs of an asthma attack. This can lead to uncontrolled asthma and increased risk of exacerbations.

*   **Changes in Lifestyle:** Older adults may experience changes in their lifestyle, such as reduced physical activity, changes in diet, or exposure to new environmental factors. These changes can also affect asthma control.

**What to do if you have asthma and are getting older:**

*   **Regular Monitoring:** Work closely with your doctor to monitor your asthma control regularly. This may involve spirometry tests to assess lung function and peak flow measurements to track symptoms.

*   **Asthma Action Plan:** Develop a comprehensive asthma action plan with your doctor that outlines how to manage your asthma, including medications, triggers, and what to do in case of an emergency.

*   **Medication Review:** Review your medications with your doctor to identify any potential interactions or side effects.

*   **Lifestyle Modifications:** Make lifestyle modifications to reduce your exposure to triggers, such as allergens, irritants, and pollutants.

*",0.644282,0.690064,0.666388,0.0,0.240741,0.022305,0.107407
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Okay, here's a comprehensive overview of what is known about asthma, based on current medical knowledge and evidence:

**What is Asthma?**

Asthma is a chronic respiratory disease characterized by inflammation and narrowing of the airways (bronchial tubes). This narrowing leads to:

*   **Airway Obstruction:**  The airways become constricted, making it difficult to breathe.
*   **Airway Hyperreactivity:** The airways are overly sensitive to various triggers, leading to bronchospasm (tightening of the muscles around the airways) and increased mucus production.
*   **Inflammation:** Chronic inflammation contributes to airway damage and makes the airways more susceptible to future attacks.

**Key Characteristics of Asthma:**

*   **Variable:** Asthma symptoms can vary in severity and frequency from person to person and even within the same person over time. Some people have mild, infrequent symptoms, while others experience severe, persistent symptoms.
*   **Chronic:** Asthma is a long-term condition that requires ongoing management.
*   **Reversible:**  The airway obstruction in asthma is typically reversible, either spontaneously or with medication. This is a key distinguishing feature from other chronic lung diseases like COPD (Chronic Obstructive Pulmonary Disease).
*   **Multifactorial:** Asthma is caused by a complex interplay of genetic predisposition and environmental factors.

**Causes and Risk Factors:**

*   **Genetics:**  Asthma tends to run in families. Having a family history of asthma or allergies significantly increases your risk. Specific genes related to immune function and airway development are implicated.
*   **Environmental Factors:**
    *   **Allergens:**  Exposure to allergens like pollen, dust mites, pet dander, mold, and cockroach allergens can trigger asthma attacks.
    *   **Irritants:**  Exposure to irritants like smoke (tobacco, wood-burning), air pollution, strong odors, and chemical fumes can also trigger asthma.
    *   **Respiratory Infections:**  Viral respiratory infections, especially in early childhood, are a major risk factor for developing asthma.
    *   **Occupational Exposures:**  Exposure to certain substances in the workplace, such as chemicals, dusts, and fumes, can trigger asthma.
    *   **Obesity:**  Obesity is associated with an increased risk of developing asthma and more severe asthma symptoms.
    *   **Early Life Factors:**  Factors like low birth weight, prematurity, and exposure to tobacco smoke",0.694875,0.736716,0.715184,0.0,0.394578,0.07855,0.150602
