indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to symptoms such as wheezing, coughing, chest tightness, and shortness of breath. These symptoms can be triggered by various factors, including allergens, dust, cold air, exercise, and certain medications. Asthma can vary in severity, ranging from mild to severe, and it can affect people of all ages. Asthma management involves controlling symptoms, preventing exacerbations, and improving lung function. It often requires a combination of medications, including inhaled corticosteroids, long-acting beta-agonists, leukotriene modifiers, and, in some cases, biologic therapy. Lifestyle modifications, such as avoiding triggers, maintaining a healthy weight, and practicing good asthma hygiene, can also help manage asthma symptoms.",0.739065,0.747084,0.743053,0.0,0.321285,0.064777,0.184739
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways, often referred to as airway inflammation, plays a significant role in asthma. This inflammation is characterized by the presence of various cells and substances in the airways, such as mast cells, eosinophils, and cytokines. The inflammation can lead to the bronchial smooth muscle's constriction, increased mucus production, and airway narrowing, which are the key features of asthma.

The inflammation process in asthma involves several stages:

1. **Allergic Sensitization**: This is the initial phase where the immune system becomes sensitized to allergens, such as pollen, dust mites, or pet dander. The body mistakenly identifies these allergens as harmful and mounts an immune response.

2. **Bronchial Hyperresponsiveness**: During the sensitization phase, the airways become more sensitive to various triggers, such as allergens, cold air, or physical exercise. This heightened responsiveness leads to the bronchoconstriction observed in asthma.

3. **Inflammation**: When the individual encounters the allergen that caused sensitization, the immune system launches an attack, leading to inflammation. This inflammation causes swelling of the airway lining, thickening of the mucus membrane, and increased production of mucus.

4. **Airway Narrowing**: The inflammation triggers the release of various substances, such as histamine, leukotrienes, and prostaglandins, from the immune cells and damaged tissues. These substances cause bronchoconstriction, leading to airway narrowing and increased airway resistance.

5. **Bronchospasm**: The inflammation also leads to the contraction of the bronchial smooth muscle, which directly narrows the airways.

The inflammation in asthma is dynamic and can flare up (exacerbate) or subside (improve) over time. Medications like inhaled corticosteroids and long-acting bronchodilators can help control inflammation, reduce bronchoconstriction, and maintain airway patency, thereby improving asthma control. Regular use of these medications, along with avoiding triggers and maintaining a healthy lifestyle, can help manage inflammation and minimize the impact of asthma on daily life.",0.673954,0.718255,0.6954,0.053925,0.300716,0.091127,0.152745
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways refers to the presence of immune cells and molecules in the lungs that are typically associated with allergic reactions or infections. This inflammation can lead to the narrowing of the airways, making it harder to breathe. In asthma, inflammation is a key feature that drives the disease and causes the characteristic symptoms of coughing, wheezing, and shortness of breath. The inflammation in the airways is often caused by an immune response to allergens, viruses, or other irritants. Medications used to treat asthma, such as inhaled corticosteroids and bronchodilators, work by reducing inflammation and opening the airways.",0.719766,0.777228,0.747394,0.0,0.290076,0.108527,0.229008
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma can affect people of all ages, but it is most commonly seen in children and young adults. The exact cause of asthma is not fully understood, but it is believed to be a combination of genetic and environmental factors. In some cases, asthma may also be associated with other medical conditions, such as allergies, and environmental factors like air pollution, tobacco smoke, and allergens. While asthma can occur in people with no family history of the condition, having a family history of allergies or other respiratory diseases may increase the risk of developing asthma. However, it's important to note that asthma can manifest at any age, including in infants and adults, and it's not limited to certain ethnic or socioeconomic groups.",0.713422,0.75635,0.734259,0.038939,0.308458,0.050251,0.149254
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma typically starts in childhood, often during the first few years of life. However, it can occasionally begin in adulthood, often in people who have had allergic conditions such as allergic rhinitis or atopic dermatitis.",0.739906,0.762451,0.751009,0.0,0.213333,0.027397,0.133333
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a complex condition that is not fully understood. The exact causes of asthma are not known, but several factors are believed to play a role. These include genetics, environmental factors, and potentially certain infections or allergens. Genetics can increase the risk of developing asthma. Environmental factors such as exposure to allergens (like pollen, dust mites, or pet dander), irritants (like tobacco smoke, air pollution, or changes in weather), and infections (like viral respiratory infections) can trigger asthma symptoms in susceptible individuals. Additionally, chronic exposure to these factors over time may contribute to the development and persistence of asthma. However, it's important to note that the relationship between these factors and asthma is complex and not yet fully elucidated.",0.744233,0.777272,0.760394,0.072846,0.357895,0.117021,0.2
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is considered a chronic disease. It is a long-term condition characterized by inflammation and narrowing of the airways, which can lead to repeated episodes of wheezing, shortness of breath, chest tightness, and coughing. The inflammation and narrowing of the airways persist over time, requiring ongoing management and treatment to prevent acute exacerbations and reduce the frequency of symptoms. Chronic management of asthma involves regular monitoring, appropriate use of controller medications, and identification and management of potential exacerbating factors.",0.743201,0.709183,0.725794,0.062588,0.35122,0.128079,0.243902
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there is a risk that your asthma may get worse with age. Asthma is a chronic condition, and the symptoms can change over time due to various factors such as changes in lung function, airway inflammation, and the development of other comorbidities like allergies or lung diseases. Additionally, as you age, your lungs may naturally lose some of their elasticity, which can exacerbate asthma symptoms. It's important to work closely with your healthcare provider to manage your asthma effectively and make necessary adjustments to your treatment plan as you age. This may include adjusting your inhalers, optimizing medication adherence, and addressing any underlying conditions that could impact your lung health. Regular monitoring of your asthma symptoms and lung function, along with open communication with your healthcare provider, can help ensure that your asthma management plan remains effective and that any potential exacerbations are caught and managed promptly.",0.68189,0.715809,0.698438,0.0,0.303797,0.059574,0.185654
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Asthma can be more severe in older adults compared to younger individuals, often due to age-related changes in the airways and the body's response to inflammation and airway narrowing. Studies have shown that the risk of severe asthma exacerbations increases with age, and older adults are more likely to require hospitalization due to asthma. However, the severity of asthma can vary significantly between individuals, and age alone is not a definitive predictor of asthma severity. Other factors such as genetics, environmental exposures, and lifestyle choices also play crucial roles. Regular medical check-ups, adherence to treatment, and a healthy lifestyle can help manage asthma effectively in older adults.",0.730944,0.714151,0.72245,0.029525,0.33463,0.039216,0.178988
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic respiratory disease that affects millions of people worldwide, characterized by variable airflow obstruction, airway inflammation, and reversible bronchial hyperresponsiveness. It is a complex condition with both genetic and environmental factors influencing its development and exacerbation. Asthma symptoms include wheezing, shortness of breath, chest tightness, and coughing, often triggered by allergens, cold air, exercise, or infections. The disease can be classified into different severity categories, including mild, moderate, severe, and mild-to-moderate asthma, based on the frequency and severity of symptoms, medication needs, and the presence of exacerbations.

Asthma symptoms and exacerbations can be controlled with appropriate medication, such as inhaled corticosteroids, long-acting beta-agonists, leukotriene modifiers, and inhaled bronchodilators. However, achieving and maintaining long-term control can be challenging, especially for those with severe asthma or uncontrolled asthma despite high-dose inhaled corticosteroid therapy. This requires a combination of effective asthma management strategies, including appropriate treatment, identifying and addressing modifiable risk factors, and ensuring good adherence to medication and lifestyle modifications.

Despite advancements in asthma care, global asthma management still faces challenges due to inadequate access to appropriate medications, particularly in low- and middle-income countries. Efforts to improve asthma care and patient outcomes, as advocated by the Global Initiative for Asthma (GINA), involve improving awareness, disseminating evidence-based recommendations, and integrating asthma management into health systems and clinical practice. The future of asthma management lies in developing and implementing effective strategies for early diagnosis, accurate classification, and appropriate treatment of this complex disease.",0.764156,0.743886,0.753885,0.070495,0.393888,0.0954,0.169779
