indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic inflammatory disease that affects the airways, which are the tubes that carry air to and from the lungs. It causes inflammation, congestion, and narrowing of the airways, making it difficult to breathe.

Here's a more detailed explanation:

Asthma occurs when the airways in the lungs become inflamed and constricted, leading to an increase in mucus production. This can cause symptoms such as wheezing, coughing, shortness of breath, chest tightness, and chest pain.

The airways in the lungs are made up of tiny air sacs called alveoli, where oxygen is absorbed into the blood. In people with asthma, the airways become swollen and narrow, making it harder for oxygen to reach the alveoli. This can lead to a decrease in lung function and an increase in the amount of mucus produced.

There are several types of asthma, including:

* **Allergic asthma**: Caused by allergies, such as hay fever or pet allergies, which trigger inflammation and constriction of the airways.
* **Non-allergic asthma**: Caused by other factors, such as exercise, stress, or environmental irritants, which can trigger asthma symptoms.
* **Mixed asthma**: A combination of allergic and non-allergic factors.

Asthma can be mild, moderate, or severe, and it can affect people of all ages, including children, adults, and the elderly. While there is no cure for asthma, there are several treatments available to manage symptoms and improve quality of life.

These treatments include:

* **Medications**: Such as bronchodilators, corticosteroids, and combination inhalers, which help to relax the airways, reduce inflammation, and prevent asthma attacks.
* **Lifestyle changes**: Such as quitting smoking, avoiding allergens, and exercising regularly, which can help to manage symptoms and prevent asthma attacks.
* **Inhaler therapy**: Using a metered-dose inhaler (MDI) to deliver medication directly to the lungs.
* **Avoiding triggers**: Identifying and avoiding triggers, such as allergens or irritants, which can trigger asthma symptoms.

If you or someone you know is experiencing symptoms of asthma, it's essential to consult a healthcare professional for proper diagnosis and treatment.",0.680955,0.740036,0.709267,0.031346,0.293103,0.060606,0.155172
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Asthma is a chronic inflammatory disease of the airways, and inflammation plays a crucial role in its development and progression. When the airways are inflamed, the body's immune response is triggered, leading to the production of inflammatory cells, such as eosinophils, neutrophils, and macrophages.

Here's how inflammation affects asthma:

1. **Increased mucus production**: Inflammatory cells release chemicals that stimulate the production of mucus in the airways, making it more difficult to breathe.
2. **Swelling and edema**: Inflammation causes the airway walls to swell, leading to increased surface area and difficulty breathing.
3. **Increased airway resistance**: The airways become thicker and more rigid, making it harder for air to flow through.
4. **Coughing and wheezing**: Inflammation triggers the coughing and wheezing associated with asthma, as the airways react to the irritant particles or allergens.
5. **Bronchospasm**: In severe cases, inflammation can cause the airway muscles to contract, leading to bronchospasm, which can cause wheezing, coughing, and shortness of breath.
6. **Inflammation of the bronchioles**: Inflammation can also affect the smaller airways, known as bronchioles, leading to symptoms such as coughing, wheezing, and shortness of breath.

The inflammatory response in asthma is typically triggered by:

* Allergens, such as pollen, dust mites, or pet dander
* Irritants, such as tobacco smoke, pollution, or strong chemicals
* Infections, such as bronchitis or pneumonia
* Genetic predisposition

The inflammation in asthma can be chronic or acute, with chronic inflammation leading to long-term damage and acute inflammation leading to symptoms that may resolve on their own or with treatment.

Does that make sense?",0.674065,0.723668,0.697986,0.039904,0.37037,0.085106,0.169312
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways is a key component of asthma. In people with asthma, the airways (nerves, blood vessels, and immune cells) are normally in a state of balance, functioning properly, and responding to triggers to maintain normal breathing.

However, in asthma, the airways become inflamed and irritated, leading to an overreaction to stimuli and a characteristic pattern of airway constriction, airflow obstruction, and mucus production. This inflammation is often caused by an overactive immune response, which involves the release of various chemical mediators, such as histamine, cytokines, and chemokines.

When these chemical mediators bind to their receptors on the surface of immune cells, such as eosinophils and mast cells, they trigger a series of events that lead to inflammation and tissue damage. In the airways, this inflammation can cause:

1. Swelling and edema: Fluid accumulates in the airway walls, making them thicker and more difficult to expand.
2. Mucus production: Excess mucus is produced, which can accumulate in the airways and make breathing more difficult.
3. Airway constriction: The smooth muscles in the airways tighten, reducing airflow through the airways.
4. Hyperresponsiveness: The airways become more sensitive to stimuli, making them more prone to constriction in response to triggers.

The inflammation in asthma is characterized by a complex interplay of different cell types, including:

1. Eosinophils: These white blood cells play a key role in the allergic response and can contribute to the inflammation in asthma.
2. Mast cells: These cells release histamine and other chemical mediators, which contribute to the allergic response and inflammation.
3. T cells: These immune cells can also play a role in the inflammatory response, particularly in the context of allergies and asthma.

Understanding the mechanisms of inflammation in asthma is crucial for developing effective treatments, such as bronchodilators, corticosteroids, and anti-inflammatory medications, which can help manage symptoms and improve quality of life for individuals with asthma.",0.622552,0.747259,0.679229,0.0,0.127536,0.052478,0.104348
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a common chronic respiratory disease that can affect anyone, but it's more common in certain groups of people. Here are some of the most common groups that are at risk of developing asthma:

1. **Children**: Asthma is more common in children than adults. In fact, the CDC estimates that 8% of children under the age of 15 have asthma.
2. **Women**: Women are more likely to develop asthma than men, especially during their childbearing years. According to the CDC, women are about 2-3 times more likely to develop asthma than men.
3. **People of color**: Individuals of color, especially African Americans, are more likely to develop asthma than people of other racial or ethnic groups.
4. **People with a family history of asthma**: If you have a family history of asthma, you're more likely to develop the disease. Women who have a mother or sister with asthma are about 4 times more likely to develop asthma than women without such a family history.
5. **People with a history of allergies**: If you have allergies, you're more likely to develop asthma. This is because allergies can increase the production of IgE antibodies, which can trigger asthma symptoms.
6. **People with eczema**: Eczema (atopic dermatitis) is a chronic skin condition that can increase the risk of developing asthma.
7. **People with gastroesophageal reflux disease (GERD)**: GERD, or acid reflux, can increase the risk of developing asthma.
8. **People with chronic obstructive pulmonary disease (COPD)**: COPD is a progressive lung disease that can make it harder to breathe and increase the risk of developing asthma.
9. **People with a history of lung disease**: If you have a history of lung disease, such as chronic bronchitis or emphysema, you may be more likely to develop asthma.

It's essential to note that anyone can develop asthma, regardless of their age, sex, or background. If you or a family member has any of these risk factors, it's crucial to talk to a healthcare professional about the possibility of developing asthma.",0.65778,0.739366,0.696191,0.032247,0.210024,0.067146,0.138425
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma is a common chronic respiratory disease that can affect people of all ages. However, it's most commonly diagnosed in children and adolescents, typically before the age of 5.

According to the American Academy of Pediatrics (AAP), asthma symptoms are most likely to appear in the first few years of life. The AAP recommends that children be screened for asthma at 18 months, 24 months, and 36 months of age. This allows for early identification and treatment of the condition.

In general, the age range for the onset of asthma symptoms is:

* Infants (0-12 months): May experience symptoms such as wheezing, coughing, and difficulty breathing.
* Toddlers (1-2 years): May experience symptoms such as wheezing, coughing, and difficulty breathing, especially after exposure to allergens or irritants.
* Preschoolers (3-5 years): May experience symptoms such as wheezing, coughing, and difficulty breathing, especially during peak pollen seasons or after exercise.
* School-age children (6-12 years): May experience symptoms such as wheezing, coughing, and difficulty breathing, especially during physical activity or exposure to allergens or irritants.

It's essential to note that not all cases of asthma will present with symptoms, and some people may be asymptomatic. Early recognition and treatment of asthma can help prevent severe symptoms and improve quality of life.",0.617897,0.771458,0.686191,0.016134,0.181818,0.047809,0.110672
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a complex condition, and its causes can be multifactorial. Here's a summary:

Asthma is primarily triggered by a combination of environmental factors, genetic predisposition, and a type of inflammation in the airways. The exact causes are not fully understood, but research has identified several key factors that contribute to its development:

1. **Allergens**: Exposure to allergens such as dust mites, mold, pet dander, pollen, and certain substances like latex or dust. These allergens can trigger inflammation and swelling in the airways.
2. **Infections**: Respiratory infections like the common cold, flu, or bronchitis can trigger asthma symptoms in some people.
3. **Air pollution**: Exposure to air pollution, particularly particulate matter (PM), ozone, and nitrogen dioxide, can exacerbate asthma symptoms.
4. **Genetics**: Asthma tends to run in families, suggesting a genetic component. Certain genetic variations can affect the way the airways respond to allergens and irritants.
5. **Hormonal changes**: Hormonal fluctuations during pregnancy, menstruation, or menopause can trigger asthma symptoms in some women.
6. **Environmental factors**: Exposure to secondhand smoke, tobacco smoke, or air conditioning can trigger asthma symptoms.
7. **Imbalanced gut microbiome**: An imbalance of the gut microbiome, also known as dysbiosis, can lead to inflammation and increase the risk of developing asthma.
8. **Sleep apnea**: Sleep apnea, a condition characterized by pauses in breathing during sleep, can trigger asthma symptoms.
9. **Medications**: Certain medications, such as decongestants, pain relievers, and certain antibiotics, can trigger asthma symptoms as a side effect.

It's essential to note that asthma is a heterogeneous condition, and not everyone will experience all of these factors. Additionally, some people may develop asthma at a younger age, while others may experience it for the first time later in life. If you or someone you know has asthma, it's essential to work with a healthcare professional to develop a personalized treatment plan and manage symptoms effectively.",0.642468,0.764525,0.698202,0.017546,0.209974,0.058047,0.125984
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is considered a chronic disease. It is a long-term condition that requires ongoing management and treatment to control symptoms and prevent exacerbations. Chronic diseases are conditions that persist over a long period, and asthma is typically defined as a disease that lasts for more than six weeks and is not adequately controlled with treatment.

In asthma, the airways are inflamed and constricted, leading to symptoms such as wheezing, coughing, shortness of breath, and chest tightness. These symptoms can vary in severity and may be triggered by a variety of factors, including allergens, irritants, and exercise.

Asthma is typically classified as one of several categories, including:

* Mild asthma: This is the most common type of asthma, characterized by mild symptoms and minimal airflow obstruction.
* Moderate asthma: This type of asthma is more severe than mild asthma and may require more frequent use of asthma medications.
* Severe asthma: This is the most severe type of asthma, characterized by severe symptoms and significant airflow obstruction.
* Uncontrolled asthma: This type of asthma is not adequately controlled with treatment and requires frequent hospitalization and treatment.

Managing asthma as a chronic disease involves a combination of medication, lifestyle changes, and medical treatment. Treatment goals include controlling symptoms, preventing exacerbations, and improving quality of life.",0.695801,0.723703,0.709478,0.0,0.286567,0.06006,0.185075
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there is a risk that your asthma may worsen with age. Asthma is a chronic respiratory disease that can affect people of all ages, but it's most commonly diagnosed in children and young adults.

As people age, the risk of developing asthma increases. This is because the airways in the lungs can become more sensitive and reactive to triggers, such as allergens, irritants, and infections. Older adults may also experience changes in the airways that can make them more prone to asthma symptoms.

According to the American Lung Association, the risk of asthma increases with age in several ways:

1. **Age-related changes in airways**: As people age, the airways in the lungs can become less responsive to inflammation and smooth muscle constriction, making it more difficult for them to open up and expel air.
2. **Increased sensitivity to allergens**: Older adults may become more sensitive to allergens, such as dust mites, mold, and pet dander, which can trigger asthma symptoms.
3. **Reduced lung function**: Older adults may experience a decline in lung function, making it more difficult to breathe and increasing the risk of asthma symptoms.
4. **Increased prevalence of comorbidities**: Older adults are more likely to have other conditions that can exacerbate asthma, such as heart disease, diabetes, and chronic obstructive pulmonary disease (COPD).

However, it's essential to note that not all older adults with asthma will experience worsening symptoms. Some may experience stable asthma, while others may experience worsening symptoms due to age-related changes or other underlying conditions.

If you have asthma and are concerned about its potential impact on your health, it's essential to work closely with your healthcare provider to develop a management plan that addresses your specific needs. They can help you monitor your condition, adjust your treatment plan as needed, and provide guidance on managing potential age-related changes.",0.671421,0.765313,0.715299,0.0,0.235589,0.025189,0.125313
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Yes, it is often worse getting asthma in older adults. As people age, the prevalence and severity of asthma can increase. Several factors contribute to this:

1. **Increased airway inflammation**: Aging is associated with decreased airway function and increased inflammation, making it harder for the lungs to clear mucus and allergens.
2. **Weakened immune system**: Older adults often have a weakened immune system, making it easier for allergens and irritants to trigger asthma symptoms.
3. **Changes in lung structure**: As people age, the airways become less flexible and more prone to narrowing, making it harder for air to flow in and out of the lungs.
4. **Medication side effects**: Older adults may be more likely to experience side effects from asthma medications, such as respiratory depression or increased mucus production.
5. **Lifestyle changes**: Older adults may experience changes in lifestyle, such as reduced physical activity or increased sedentary behavior, which can worsen asthma symptoms.

According to the American Academy of Allergy, Asthma, and Immunology (AAAAI), asthma symptoms are more common and severe in older adults, particularly after age 65. The AAAAI notes that older adults are more likely to experience:

* **Increased symptoms**: Older adults may experience more frequent and severe asthma symptoms, such as wheezing, coughing, and shortness of breath.
* **Reduced lung function**: Older adults may have lower lung function, making it harder to breathe.
* **Increased hospitalizations**: Older adults with asthma may be more likely to experience hospitalizations due to asthma-related complications.

If you're experiencing asthma symptoms in your 40s, 50s, or 60s, it's essential to discuss your symptoms with your healthcare provider to determine the best course of treatment. Your provider may recommend:

* **Adjusting medication**: Your provider may adjust your medication regimen to minimize side effects and optimize asthma control.
* **Lifestyle changes**: Your provider may recommend lifestyle changes, such as regular exercise, stress management, and avoidance of allergens and irritants.
* **Imaging tests**: Your provider may order imaging tests, such as a CT scan or echocardiogram, to evaluate lung function and detect any potential issues.

Remember, it's essential to work closely with your healthcare provider to manage your asthma and prevent complications.",0.641175,0.705921,0.671992,0.0,0.238569,0.031936,0.12326
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic respiratory disease characterized by recurring episodes of wheezing, coughing, shortness of breath, and chest tightness. Here are some key facts about asthma:

1. **Inflammation and airway constriction**: Asthma is caused by inflammation and constriction of the airways, which can lead to a narrowing of the airways and make it difficult to breathe.
2. **Imbalanced airway response**: In people with asthma, the airways respond to stimuli (such as allergens or irritants) by narrowing and constricting, leading to symptoms.
3. **Multiple airway components**: Asthma affects multiple airway components, including the bronchi, bronchioles, and alveoli. Each component can contribute to the development and severity of the disease.
4. **Genetic predisposition**: Asthma tends to run in families, and genetic factors can contribute to the development of the disease.
5. **Risk factors**: Exposure to allergens, irritants, and other triggers can exacerbate asthma symptoms. Other risk factors include:
* Family history of asthma
* Age (asthma often begins in childhood or adolescence)
* Sex (women are more likely to develop asthma than men)
* Ethnicity (some ethnic groups, such as African Americans and Hispanics, are more likely to develop asthma)
* Obesity
* Smoking
* Air pollution
* Viral infections
6. **Symptoms**: Common symptoms of asthma include:
* Wheezing
* Coughing
* Shortness of breath
* Chest tightness
* Fatigue
* Night sweats
7. **Complications**: Untreated asthma can lead to complications such as:
* Bronchial hyperresponsiveness
* Asthma exacerbations
* Lung function decline
* Chronic obstructive pulmonary disease (COPD)
* Increased risk of respiratory infections
8. **Treatment**: The primary treatment for asthma is medication, which helps to:
* Reduce symptoms
* Control inflammation
* Relax airway muscles
* Prevent exacerbations
9. **Lifestyle modifications**: Lifestyle modifications can help manage asthma symptoms, including:
* Avoiding triggers
* Using a peak flow meter to monitor lung function
* Staying physically active
* Eating a healthy diet
* Getting regular exercise
10. **Monitoring and follow-up**: Asthma requires ongoing monitoring and follow-up to ensure that symptoms are under control and to make any necessary adjustments to treatment.",0.712186,0.728696,0.720346,0.036544,0.385911,0.092166,0.150077
