indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to difficulty in breathing. Symptoms include wheezing, shortness of breath, chest tightness, and coughing, often triggered by allergens, exercise, cold air, or respiratory infections. It is managed through medications like inhaled corticosteroids and bronchodilators, and by avoiding known triggers.",0.755165,0.713697,0.733846,0.0,0.245989,0.086486,0.171123
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways in asthma leads to swelling and narrowing of the air passages, making it difficult to breathe. This inflammation can cause increased mucus production, which further obstructs airflow. During an asthma attack, the muscles around the airways tighten, exacerbating the difficulty in breathing. Managing inflammation through medications like corticosteroids is crucial in controlling asthma symptoms and preventing attacks.",0.760363,0.713375,0.73612,0.026319,0.274725,0.077778,0.186813
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways is a key feature of asthma, characterized by swelling and irritation of the airway lining. This inflammation can lead to narrowing of the airways, increased mucus production, and hyper-responsiveness to various stimuli, such as allergens, irritants, or exercise. These changes result in symptoms like wheezing, coughing, chest tightness, and shortness of breath. Inflammation is often triggered by environmental factors, allergens, infections, or stress, and is managed through medications like corticosteroids and bronchodilators to reduce swelling and open the airways.",0.702014,0.777411,0.737791,0.0,0.313043,0.106195,0.226087
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a chronic respiratory condition that can affect individuals of any age, race, or gender. However, it is more prevalent in certain populations. According to the Centers for Disease Control and Prevention (CDC), asthma affects approximately 25 million people in the United States, with a higher incidence in children and adolescents.

Risk factors for developing asthma include:

1. Genetic predisposition: Having a family history of asthma or other allergic conditions increases the likelihood of developing asthma.
2. Environmental factors: Exposure to allergens such as dust mites, pet dander, pollen, and mold can trigger asthma symptoms.
3. Respiratory infections: Frequent respiratory infections during childhood can increase the risk of developing asthma.
4. Lifestyle factors: Smoking and exposure to secondhand smoke, air pollution, and occupational irritants can contribute to the development of asthma.

It is important to note that while some individuals may have a higher risk of developing asthma due to these factors, anyone can develop the condition. Early diagnosis and management are crucial in controlling symptoms and preventing complications.",0.702208,0.777034,0.737728,0.042468,0.315789,0.073469,0.210526
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma can begin at any age, but it is most commonly diagnosed in childhood. According to the Centers for Disease Control and Prevention (CDC), about 1 in 13 children in the United States have asthma. However, it can also develop in adults, and the onset of asthma in adulthood is increasingly common. The exact age of onset can vary widely among individuals.",0.721348,0.791809,0.754938,0.055125,0.313725,0.08,0.254902
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a chronic inflammatory disease of the airways that can be triggered by various factors. The exact cause of asthma is not fully understood, but it is believed to result from a combination of genetic and environmental factors. Some common triggers include:

1. Allergens: Pollen, dust mites, mold spores, pet dander, and cockroach debris can trigger asthma symptoms.
2. Respiratory infections: Viral infections like the common cold or flu can exacerbate asthma symptoms.
3. Exercise: Physical activity can trigger exercise-induced bronchoconstriction in some individuals.
4. Air pollutants: Exposure to pollutants such as smoke, chemical fumes, and ozone can worsen asthma.
5. Stress and strong emotions: These can lead to hyperventilation and trigger asthma symptoms.
6. Weather changes: Cold air, humidity, and other weather conditions can provoke asthma attacks.

It's important to note that while these factors can trigger asthma symptoms, they do not cause the underlying condition. Asthma is primarily a result of an overactive immune response and inflammation in the airways.",0.699465,0.771848,0.733876,0.0,0.307692,0.077586,0.205128
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is a chronic disease characterized by inflammation and narrowing of the airways, leading to symptoms such as wheezing, shortness of breath, chest tightness, and coughing. It requires long-term management and treatment to control symptoms and prevent exacerbations.",0.764628,0.697175,0.729345,0.021203,0.256098,0.123457,0.207317
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Asthma is a chronic condition that can vary in severity over time. While some individuals may experience worsening symptoms as they age, others may find their symptoms remain stable or even improve. Factors such as environmental exposures, lifestyle changes, and overall health can influence asthma progression. It is important to maintain regular check-ups with a healthcare provider to monitor your condition and adjust treatment as necessary. There is no definitive answer as to whether asthma will worsen with age, as it varies from person to person. Regular monitoring and adjustments in treatment can help manage symptoms effectively.",0.73343,0.747636,0.740465,0.0,0.258065,0.032609,0.139785
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Asthma can affect individuals at any age, but the prevalence and severity of asthma can vary with age. In children, asthma is often diagnosed due to environmental factors and allergies. In adults, asthma can be triggered by occupational exposures, stress, or other lifestyle factors. While asthma is not necessarily ""worse"" in older adults, the condition can be more challenging to manage due to age-related changes in lung function and the presence of comorbidities. It is crucial for older adults with asthma to work closely with healthcare providers to manage their condition effectively.",0.749636,0.713798,0.731278,0.0,0.35,0.058824,0.15
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to symptoms such as wheezing, shortness of breath, chest tightness, and coughing. It is caused by a combination of genetic and environmental factors, including allergens, respiratory infections, and air pollution. Asthma can be classified into different types, such as allergic asthma, non-allergic asthma, and exercise-induced asthma. Management typically involves avoiding triggers, using inhaled corticosteroids, and having a rescue inhaler for acute symptoms. Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to symptoms such as wheezing, shortness of breath, chest tightness, and coughing. It is caused by a combination of genetic and environmental factors, including allergens, respiratory infections, and air pollution. Asthma can be classified into different types, such as allergic asthma, non-allergic asthma, and exercise-induced asthma. Management typically involves avoiding triggers, using inhaled corticosteroids, and having a rescue inhaler for acute symptoms. Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to symptoms such as wheezing, shortness of breath, chest tightness, and coughing. It is caused by a combination of genetic and environmental factors, including allergens, respiratory infections, and air pollution. Asthma can be classified into different types, such as allergic asthma, non-allergic asthma, and exercise-induced asthma. Management typically involves avoiding triggers, using inhaled corticosteroids, and having a rescue inhaler for acute symptoms. Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to symptoms such as wheezing, shortness of breath, chest tightness, and coughing.",0.727093,0.651469,0.687207,0.069376,0.315091,0.066556,0.185738
