indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","### What is Asthma?  
Asthma is a chronic respiratory disease characterized by **airway hyperresponsiveness**, **chronic inflammation**, and **variable expiratory airflow limitation**. It is a heterogeneous condition, meaning it can have diverse underlying causes and manifestations. Key features include:  

1. **Symptoms**:  
   - Variable respiratory symptoms such as **wheezing**, **shortness of breath**, **chest tightness**, and **cough**.  
   - Symptoms may worsen during **exercise**, **allergen exposure**, or **cold air**, and improve with **inhaled corticosteroids (ICS)**.  

2. **Diagnostic Criteria**:  
   - **Recurrent acute wheezing episodes** with or without asthma-like symptoms.  
   - **Confirmed variable expiratory airflow limitation** (e.g., spirometry or PEF measurements).  
   - **Differential diagnosis** to rule out other conditions (e.g., COPD, occupational asthma).  

3. **Types of Asthma**:  
   - **Allergic Asthma**: Linked to **allergies** (e.g., eczema, food allergies), with **eosinophilic airway inflammation**.  
   - **Non-Allergic Asthma**: Associated with **non-allergic triggers** (e.g., irritants, exercise), with **neutrophilic airway inflammation**.  
   - **Cough Variant Asthma**: Characterized by **persistent cough** without wheezing.  
   - **Occupational Asthma**: Triggered by workplace exposures (e.g., chemicals, allergens).  

4. **Diagnosis**:  
   - **Lung function tests** (e.g., spirometry, PEF) are critical, especially in patients without access to spirometry.  
   - **Bronchodilator responsiveness** (e.g., reversibility) confirms airway obstruction.  
   - **Clinical history** and **physical examination** help differentiate asthma from other conditions (e.g., COPD, heart failure).  

5. **Management**:  
   - **ICS-containing treatment** is often required for symptom control, with adjustments based on **lung function variability** and **response to treatment**.  
   - **Biologic therapies** (e.g., monoclonal antibodies) may be used in severe or refractory cases.  

### Key Takeaways  
Asthma is a **chronic, heterogeneous condition** with **variable symptoms** and **airway inflammation**. It requires **accurate diagnosis** (via spirometry or PEF) and **targeted treatment** to manage symptoms and prevent exacerbations. The distinction between asthma and other respiratory conditions (e.g., COPD, heart failure) is critical for proper care.  

### References  
* [1] Document Title: GINA_2025_edit.txt (Definition, symptoms, types, and diagnostic criteria).",0.589882,0.688898,0.635557,0.0,0.204176,0.027972,0.111369
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","### Asthma and Airway Inflammation

Airway inflammation is a central feature of asthma, characterized by chronic inflammation of the airways, which leads to symptoms such as wheezing, coughing, and shortness of breath. This inflammation is often driven by immune responses, particularly **Type 2 inflammation**, which involves eosinophils, interleukin-4 (IL-4), and other cytokines. The following points outline how airway inflammation affects asthma and its management:

---

### **1. Role of Airway Inflammation in Asthma**
- **Type 2 Inflammation**: 
  - Markers include **elevated blood eosinophils**, **high FeNO (fractional exhaled nitric oxide)**, and **increased sputum eosinophils**. 
  - This inflammation is associated with **asthma exacerbations**, **persistent airflow limitation**, and **medication side effects** (e.g., oral corticosteroids).
  - **Type 2 inflammation** is linked to **airway remodeling**, a process where airway walls become thickened and less responsive to bronchodilators (see Document Chunk [1]).

- **Symptoms and Exacerbations**:
  - Inflammation contributes to **wheezing**, **coughing**, and **shortness of breath**. 
  - Exacerbations are often triggered by **viral infections**, **allergens**, or **environmental pollutants** (see Document Chunk [1]).
  - **Poor symptom control** increases the risk of exacerbations, even with treatment (see Document Chunk [1]).

---

### **2. Impact on Lung Function and Long-Term Outcomes**
- **Persistent Airflow Limitation**: 
  - Long-standing asthma with **Type 2 inflammation** may develop **persistent airflow limitation** (e.g., chronic obstructive pulmonary disease [COPD] features). 
  - This is thought to result from **airway wall remodeling** (see Document Chunk [1]).

- **Medication Side Effects**:
  - Inflammation can lead to **increased sensitivity to corticosteroids** (e.g., **ICS**), **higher FeNO**, or **elevated eosinophils**. 
  - **High-dose ICS** may be required to manage inflammation, but this can also increase the risk of **severe exacerbations** (see Document Chunk [1]).

---

### **3. Risk Factors for Inflammation**
- **Exposures**:
  - **Tobacco smoke**, **air pollution**, and **occupational allergens** are major triggers of **Type 2 inflammation** (see Document Chunk [1]).
- **Medications**:
  - **SABA (short-acting beta-2 agonists)** overuse or **inadequate ICS** can worsen inflammation (see Document Chunk [1]).
- **Comorbidities**:
  - **Obesity**, **hypertension**, and **smoking** are associated with **increased inflammation** and **exacerbation risk** (see Document Chunk [1]).

---

### **4. Management of Airway Inflammation**
- **Inhaler Technique**:
  - Proper use of **ICS** (e.g., **beclometasone-formoterol**) is critical to prevent **airway hyperresponsiveness** and **exacerbations** (see Document Chunk [1]).
- **Adherence**:
  - **Poor adherence** to ICS or **incorrect technique** can worsen inflammation and increase exacerbation risk (see Document Chunk [1]).
- **Biologic Therapies**:
  - **Anti-IL5 (mepolizumab, reslizumab)** and **anti-IL5R (benralizumab)** target **Type 2 inflammation** and are effective in severe asthma (see Document Chunk [1]).

---

### **References**
* [1] Document Title: GINA_2025_edit.txt  
* [2] Document Title: Biomarker Overview (p. 216)  
* [3] Document Title: Airway Remodeling (p. 108)  
* [4] Document Title: Asthma and Type 2 Inflammation (p. 216)  

---

### **Key Takeaways**
- Airway inflammation is a hallmark of asthma, driven by **Type 2 immune responses**.  
- Inflammation contributes to **airway remodeling**, **exacerbations**, and **medication side effects**.  
- Management requires targeting inflammation through **ICS**, **inhaler technique**, and **comorbid risk factors**.  
- **Type 2 inflammation** is a critical target for biologic therapies in severe asthma.",0.607561,0.691452,0.646797,0.007972,0.161889,0.01692,0.084317
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","### Inflammation in the Airways of Asthma  

Inflammation in the airways is a hallmark of asthma, characterized by chronic airway inflammation that persists even when symptoms are absent or lung function is normal. This inflammation is a key feature of asthma and is often classified as **Type 2 inflammation**, which involves the adaptive immune system and is associated with the presence of cytokines like interleukin (IL)-4, IL-5, and IL-13.  

#### Key Aspects of Airway Inflammation in Asthma:  
1. **Types of Inflammation**:  
   - **Type 2 Inflammation**:  
     - Dominant in allergic asthma, characterized by **eosinophilic airway inflammation**.  
     - Marked by elevated blood eosinophils, fractional exhaled nitric oxide (FeNO), and sputum eosinophils.  
     - Often responds well to inhaled corticosteroids (ICS) but may be **relatively refractory** to high-dose ICS in severe asthma.  
   - **Non-Allergic Asthma**:  
     - May involve **neutrophilic or paucigranulocytic inflammation**.  
     - Less responsive to ICS and may require alternative treatments.  

2. **Biomarkers of Inflammation**:  
   - **Eosinophils**: Elevated levels (e.g., ≥150/µL) indicate Type 2 inflammation, though a single low count does not rule out asthma.  
   - **FeNO (Fractional Exhaled Nitric Oxide)**: Elevated levels (e.g., ≥20 ppb) are strongly associated with Type 2 inflammation.  
   - **Sputum Eosinophils**: Elevated levels suggest allergic asthma.  

3. **Role in Disease Pathogenesis**:  
   - Airway inflammation contributes to **airflow limitation**, **airway remodeling**, and **chronic symptoms**.  
   - Persistent inflammation may lead to **airway wall remodeling**, which is a key factor in **difficult-to-treat asthma**.  

4. **Clinical Implications**:  
   - Biomarkers like FeNO and eosinophils are critical for diagnosing Type 2 asthma, especially in patients with **persistent airflow limitation** or **obesity**.  
   - In severe asthma, inflammation may be **refractory to high-dose ICS** and may require **biologic therapies** (e.g., dupilumab, omalizumab) targeting specific inflammatory pathways.  

5. **Management Strategies**:  
   - **ICS** is the first-line treatment for inflammation, but **inhaled corticosteroid (ICS)-formoterol** may be required for patients with **persistent airflow limitation** or **refractory inflammation**.  
   - **Biomarker-guided treatment** (e.g., FeNO ≥20 ppb) helps identify patients who may benefit from biologic therapy.  

#### References:  
* [1] Document Title: ""GINA_2025_edit.txt""  
* [1] Document Title: ""GINA_2025_edit.txt""  
* [1] Document Title: ""GINA_2025_edit.txt""  

### Summary  
Airway inflammation in asthma is a chronic, immune-mediated process involving **Type 2 inflammation** and is a key driver of airflow limitation and symptoms. Biomarkers like **eosinophils** and **FeNO** are critical for diagnosis and treatment, particularly in severe or refractory cases. Targeted therapies (e.g., biologics) are often required to manage persistent inflammation.",0.549749,0.692513,0.612928,0.0,0.079439,0.023474,0.056075
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","### Who Gets Asthma?

Asthma is a heterogeneous chronic respiratory disease influenced by gene-environment interactions. It affects various populations, including children, adults, and individuals with comorbidities. Below is a structured summary of who is at risk:

---

### **Key Populations at Risk**  
1. **Children**  
   - **Commonly affected**: Asthma is the most common chronic disease of childhood, affecting 1–29% of the population globally.  
   - **Risk factors**:  
     - Family history of allergic diseases (e.g., eczema, allergies).  
     - Early-life wheezing or respiratory symptoms.  
     - Environmental triggers (e.g., allergens, irritants).  
     - Obesity and exposure to tobacco smoke.  

2. **Adults**  
   - **Prevalence**: Asthma is prevalent in adults, with a higher incidence in males.  
   - **Risk factors**:  
     - Family history of asthma or allergies.  
     - Airway hyperresponsiveness (linked to occupational exposures).  
     - Obesity and comorbidities (e.g., COPD, cardiovascular disease).  

3. **People with Comorbidities**  
   - **Obese individuals**: Asthma is more common in obese adults and children.  
   - **COPD patients**: Asthma often overlaps with COPD, especially in smokers.  
   - **Individuals with chronic respiratory conditions**: Those with asthma+COPD or other lung diseases.  

4. **Special Populations**  
   - **Children with a history of wheezing**: Risk of asthma increases with early-life respiratory symptoms.  
   - **Adults with occupational asthma**: Exposure to irritants (e.g., chemicals, dust) raises risk.  
   - **Patients with poor asthma control**: Those with uncontrolled symptoms are at higher risk of exacerbations.  

---

### **Risk Factors**  
- **Genetic factors**: Family history of allergic diseases (e.g., eczema, food allergies) strengthens asthma risk.  
- **Environmental factors**:  
  - Allergens (pollens, dust mites, molds).  
  - Tobacco smoke, air pollution, and occupational exposures.  
  - Viral infections (e.g., RSV, rhinovirus).  
- **Lifestyle**: Obesity, lack of physical activity, and poor adherence to asthma management.  

---

### **Clinical Context**  
- **Diagnosis**: Asthma is confirmed by recurrent wheezing, variable expiratory airflow, and response to bronchodilators.  
- **Management**: Treatment includes inhaled corticosteroids (ICS), long-acting beta-2 agonists (LABA), and lifestyle modifications.  
- **Comorbidities**: Asthma often coexists with COPD, asthma+COPD overlap, or cardiovascular conditions.  

---

### **References**  
* [1] Document Title: GINA_2025_edit.txt  
* [2] Document Title: Biomarker Overview (p. 216)  
* [3] Document Title: Asthma in Children (p. 181)  
* [4] Document Title: Risk Factors for Asthma (p. 117)  
* [5] Document Title: Multimorbidity and Specific Populations (p. 117)  

---

### **Conclusion**  
Asthma affects diverse populations, with children, adults, and individuals with comorbidities at higher risk. Genetic, environmental, and lifestyle factors interact to influence its development and severity. Early identification of risk factors and targeted management are critical for improving outcomes.",0.590542,0.720192,0.648955,0.009031,0.187364,0.04814,0.108932
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma typically begins in **early childhood**, often in the first few years of life. While the exact age range is not precisely defined in the provided documents, it is generally observed to start in **the first few years of life** (e.g., ages 1–5 years). The onset is often earlier in males than in females, and symptoms may commence during childhood. 

Key points from the context:
- Asthma is the most common chronic disease of childhood and a leading cause of childhood morbidity.  
- Symptoms may begin during childhood, with up to half of people with asthma experiencing symptoms in early childhood.  
- The onset is earlier in males than in females.  
- The documents emphasize that while the exact age of onset is not clearly specified, asthma typically starts in the early stages of life, often in the first few years.  

The provided information highlights that asthma is a lifelong condition, often beginning in early childhood, with variability in onset and symptom severity.",0.635338,0.75626,0.690545,0.0,0.199005,0.040201,0.139303
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","### Causes of Asthma  
Asthma is a complex, heterogeneous condition influenced by a combination of genetic, environmental, and immune factors. The following are the key causes and contributing factors identified in the provided document chunks:

---

#### **1. Genetic Factors**  
- **Family History**: A history of allergic disease (e.g., eczema, asthma, food allergy) or a family history of asthma increases the risk of asthma.  
- **Genetic Predisposition**: Asthma is often linked to gene–environment interactions, with some individuals inheriting a predisposition to the disease.  
- **Type 2 Inflammation**: Elevated blood eosinophils, high fractional exhaled nitric oxide (FeNO), and Type 2 inflammatory markers are associated with genetic susceptibility.  

---

#### **2. Environmental and Lifestyle Factors**  
- **Allergens**: Exposure to allergens (e.g., pollen, dust mites, pet dander) is a common trigger.  
- **Air Pollution**: Long-term exposure to air pollution, including particulate matter (PM2.5), increases the risk of asthma.  
- **Smoking**: Environmental tobacco smoke (ETS) is a significant risk factor, especially in children.  
- **Occupational Exposures**: Exposure to irritants (e.g., chemicals, dust) or allergens in the workplace can exacerbate asthma.  
- **Obesity**: Obesity is a risk factor, particularly in children, and is associated with airway remodeling and reduced lung function.  

---

#### **3. Immune and Inflammatory Factors**  
- **Type 2 Immune Response**: Asthma is characterized by an overactive Type 2 immune response, often triggered by allergens.  
- **Inflammatory Markers**: Elevated eosinophils, FeNO, and other inflammatory markers are linked to asthma.  
- **Viral Infections**: Viral upper respiratory infections (URTI) can trigger asthma exacerbations, especially in genetically susceptible individuals.  

---

#### **4. Environmental Triggers**  
- **Airflow Obstruction**: Persistent airflow limitation (e.g., from COPD or asthma) can worsen symptoms.  
- **Seasonal Changes**: Cold weather, indoor allergens, and viral infections can trigger asthma episodes.  
- **Climate Change**: Increased frequency of extreme weather (e.g., heat, cold, pollution) poses risks for vulnerable populations.  

---

#### **5. Other Contributing Factors**  
- **Psychosocial Factors**: Stress, anxiety, and depression can exacerbate asthma symptoms.  
- **Comorbidities**: Conditions like obesity, asthma with COPD, or chronic obstructive pulmonary disease (COPD) can worsen asthma.  
- **Medication Side Effects**: Long-term use of inhaled corticosteroids (ICS) or SABA (short-acting beta-2 agonists) can lead to adverse effects.  

---

#### **6. Unexplained or Complex Causes**  
- **Incomplete Understanding**: Some causes, such as the ""window of opportunity"" in early life, are not fully understood.  
- **Idiopathic Asthma**: In some cases, the exact cause remains unclear, especially in children with atypical presentations.  

---

### References  
* [1] Document Title: ""GINA_2025_edit.txt""  
* [2] Document Title: ""Clinical Diagnosis of Asthma (Children 5 Years and Younger)""  
* [3] Document Title: ""Difficult-to-treat and severe asthma""  
* [4] Document Title: ""Non-pharmacological strategies (adults, adolescents, children 6–11 years)""  
* [5] Document Title: ""Diagnosis of asthma (children 5 years and younger)""  

---

### Key Takeaways  
Asthma is caused by a complex interplay of genetic, environmental, and immune factors. Common triggers include allergens, air pollution, smoking, and obesity. While some causes are well understood, others remain unclear, especially in children with atypical presentations. Early intervention, lifestyle modifications, and targeted therapies (e.g., ICS, LABA) are critical for managing asthma.",0.591235,0.72947,0.653118,0.011622,0.155235,0.039855,0.097473
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","### Answer  
Yes, asthma is a chronic disease. It is characterized by persistent airway inflammation and variable symptoms, often requiring ongoing management. The definition in the *GINA_2025_edit.txt* document states that asthma is a heterogeneous disease with chronic airway inflammation, and it is typically associated with airway hyperresponsiveness and chronic airflow limitation. While asthma can flare up and resolve, it is generally considered chronic due to the persistent nature of the condition, even if symptoms may improve or stabilize over time. The *GINA_2025_edit.txt* also emphasizes that asthma is a chronic respiratory disease affecting 1–29% of the population, with symptoms that vary over time and in intensity.  

### References  
* [1] Document Title: GINA_2025_edit.txt  
* [1] Document Title: GINA_2025_edit.txt",0.667506,0.727827,0.696362,0.0,0.312,0.080645,0.176
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","### Answer  
Yes, age can increase the risk of asthma worsening, particularly in older adults, due to age-related declines in lung function, comorbidities, and reduced exercise capacity. However, proper management through medication adherence, regular monitoring, and addressing comorbidities can mitigate these risks. Key factors include:  

1. **Age-Related Declines**: Lung function naturally declines with age, increasing the likelihood of exacerbations and reduced respiratory muscle function.  
2. **Comorbidities**: Older adults may develop conditions like obesity, cardiovascular disease, or chronic sinusitis, which can worsen asthma symptoms.  
3. **Medication Side Effects**: Long-term use of inhaled corticosteroids (ICS) and other medications may increase risks of osteoporosis, cataracts, and adverse effects, especially in older patients.  
4. **Lifestyle Factors**: Reduced physical activity and poor nutrition can contribute to lung function decline and exacerbation risk.  

**Management Strategies**:  
- Regular lung function assessments (e.g., FEV1) to monitor decline.  
- Adherence to prescribed therapies (e.g., ICS, LABA) and avoidance of triggers (e.g., tobacco smoke).  
- Addressing comorbidities (e.g., obesity, depression) through targeted interventions.  

**References**  
* [1] Document Title: ""Multimorbidity and specific populations""  
* [2] Document Title: ""Risk factors for exacerbations""  
* [3] Document Title: ""Lung function and asthma control""",0.564661,0.68202,0.617817,0.0,0.194946,0.021818,0.122744
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","### Answer

The severity of asthma itself does not necessarily worsen with age. However, the management of asthma in older adults can become more complex due to comorbidities, reduced lung function, and other age-related factors. 

**Key Points from the Document:**
1. **Age-Related Challenges**: Older adults may experience reduced lung function, increased risk of cardiovascular disease, and comorbidities like arthritis, heart disease, or obesity, which complicate asthma management.  
2. **Symptom Reporting**: Older patients may not report asthma symptoms clearly and may attribute breathlessness to normal aging or comorbidities, making diagnosis and treatment more challenging.  
3. **Medication and Treatment**: Older adults often require specialized care for complex medication regimens and may face barriers to adherence or inhaler technique.  
4. **Exacerbation Risk**: While extreme weather events can worsen asthma outcomes, this is more about exacerbations than age-related severity.  

**Conclusion**: Asthma does not inherently worsen with age, but the condition becomes more difficult to manage in older adults due to overlapping health issues. Proper assessment, tailored treatment, and support are critical for older patients with asthma.",0.663553,0.715261,0.688437,0.0,0.299065,0.050157,0.155763
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","### What is Known About Asthma?

Asthma is a **chronic, heterogeneous respiratory disease** characterized by **variable symptoms** (e.g., wheezing, shortness of breath, chest tightness, or cough) and **variable expiratory airflow**. It is defined by a **history of respiratory symptoms** that vary over time and intensity, along with **airflow limitation**. The definition was refined based on consensus, but airflow limitation may persist even after symptoms resolve.

---

### Key Aspects of Asthma

#### **1. Definition and Phenotypes**
- **Definition**: Asthma is a **chronic inflammatory condition** of the airways, often triggered by allergens, irritants, or exercise. It is not solely a ""reversible"" condition, as airflow limitation may persist due to **airway remodeling**.
- **Phenotypes**:
  - **Allergic Asthma**: Linked to **allergies** (e.g., eczema, allergic rhinitis), with **eosinophilic airway inflammation**. Responds well to **ICS** (inhaled corticosteroids).
  - **Non-Allergic Asthma**: Associated with **non-allergic triggers** (e.g., irritants, exercise), with **neutrophilic or paucigranulocytic sputum**. Less responsive to ICS.
  - **Cough Variant Asthma**: Characterized by **cough** as the primary symptom, with airflow limitation only during **bronchial provocation**.
  - **Adult-Onset Asthma**: Often **non-allergic**, requiring higher ICS doses or **refractory to corticosteroids**.
  - **Asthma with Persistent Airflow Limitation**: Airway remodeling leads to **persistent airflow limitation** despite treatment.

---

#### **2. Diagnosis and Management**
- **Diagnosis**:
  - **Confirm** variable expiratory airflow (e.g., **PEF** or **spirometry**) and **bronchodilator responsiveness**.
  - **Use PEF** (peak expiratory flow) as an alternative to spirometry when unavailable.
  - **Prioritize diagnosis before treatment** to avoid misclassification (e.g., **mild asthma** is often misinterpreted as low-risk).
  - **Consider alternative causes** (e.g., **COPD**, **obstructive sleep apnea**) and **comorbidities**.
- **Risk Factors**:
  - **Comorbidities** (e.g., obesity, **obesity-related asthma**, **GERD**, **smoking**).
  - **Environmental exposures** (e.g., **air pollution**, **allergens**).
  - **Genetic factors** (e.g., **asthma-related genes**).

---

#### **3. Treatment and Management**
- **Treatment Goals**:
  - **Symptom control** (e.g., **SABA** [short-acting beta-2 agonists] for acute episodes).
  - **Risk reduction** (e.g., **ICS** for long-term control, **LAMA** for maintenance).
  - **Avoidance of exacerbations** and **side effects**.
- **Severe vs. Mild Asthma**:
  - **Severe asthma** is defined by **persistent airflow limitation** and **uncontrolled symptoms**, often requiring **biologic therapies**.
  - **Mild asthma** is often misclassified as **low-risk**, but it can still lead to **severe exacerbations** (e.g., **viral infections**, **allergen exposure**).
- **Management Strategies**:
  - **Stepwise treatment** (e.g., **ICS + SABA** for mild asthma).
  - **Avoidance of **SABA-only** therapy** (which may not address underlying inflammation).
  - **Monitoring** of **FEV1**, **FeNO**, and **eosinophils** as biomarkers.

---

#### **4. Global and Clinical Challenges**
- **Prevalence**: Affects **1–29% of the population** globally, with higher rates in **low- and middle-income countries**.
- **Access to Care**: Many patients lack **ICS** (inhaled corticosteroids), the **cornerstone** of asthma treatment.
- **Treatment Adherence**: Poor adherence, incorrect inhaler technique, and **comorbidities** (e.g., **obesity**, **smoking**) are major barriers.
- **Digital Tools**: Telemedicine and **digital monitoring** are increasingly used to improve **asthma control** and **patient outcomes**.

---

#### **5. Important Considerations**
- **Diagnostic Accuracy**: **PEF** is less reliable than spirometry but better than no objective measurement.
- **Patient Education**: Emphasize the **need for ICS** in all patients, regardless of symptom frequency, to prevent **severe exacerbations**.
- **Avoiding Misclassification**: The term **""mild asthma""** is often **misused**, leading to under-treatment and **overestimation of control**.
- **Multimorbidity**: Asthma often coexists with conditions like **obesity**, **GERD**, or **COPD**, requiring **comprehensive management**.

---

### References
* [1] Document Title: GINA_2025_edit.txt  
* [2] Document Title: Asthma Control and Risk Assessment (p. 38)  
* [3] Document Title: Asthma Phenotypes and Treatment (p. 17)  
* [4] Document Title: Biomarkers in Asthma (p. 216)  
* [5] Document Title: Global Asthma Management (p. 131)",0.671386,0.720274,0.694971,0.032321,0.349277,0.071349,0.149055
