indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways in the lungs, leading to difficulty breathing. It often causes wheezing, coughing, shortness of breath, chest tightness, and coughing, particularly after exposure to triggers like allergens, pollution, exercise, or cold air. 

Asthma varies in severity and can affect people of all ages, though it is more common in children. It is not a disease but a condition that can worsen over time if not managed properly. Treatment typically involves medications such as inhalers, antihistamines, corticosteroids, and lifestyle adjustments to reduce triggers. While asthma can be controlled with proper care, it requires ongoing management to prevent severe episodes. 

Let me know if you'd like further details!",0.75482,0.753329,0.754074,0.075756,0.395257,0.111554,0.205534
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation plays a central role in exacerbating asthma by driving its characteristic symptoms and progression. Here’s a structured explanation of how airway inflammation affects asthma:

### 1. **Trigger Activation**  
   - **Immune Response**: Inflammation arises when the immune system reacts to triggers like allergens (pollen, dust mites), irritants, or infections. Immune cells (e.g., mast cells, eosinophils) release chemicals that initiate inflammation.  
   - **Cytokines and Histamines**: These substances promote inflammation, causing swelling, increased mucus production, and contraction of airway muscles.

### 2. **Structural Changes in Airways**  
   - **Swelling and Thickening**: Inflammation causes swelling of the airway walls, thickening of mucus, and narrowing of the airways. This reduces airflow capacity.  
   - **Mucus Plaque Buildup**: Excess mucus production clogs the airways, further obstructing breathing.

### 3. **Airway Constriction**  
   - **Muscle Contraction**: Inflammation triggers smooth muscle contraction in the bronchial walls, narrowing the airways and causing wheezing and shortness of breath.  
   - **Reduced Elasticity**: Chronic inflammation stiffens the tissues, making the lungs less flexible and harder to expand during inhalation.

### 4. **Impact on Breathing and Symptoms**  
   - **Shortness of Breath**: Reduced airflow forces the body to work harder, leading to rapid breathing and fatigue.  
   - **Wheezing and Coughing**: Airflow obstruction causes high-pitched whispers or coughing, especially at rest.  
   - **Frequent Episodes**: Inflammation worsens symptoms, leading to recurring attacks and reduced quality of life.

### 5. **Long-Term Consequences**  
   - **Irreversible Damage**: Prolonged inflammation can cause permanent airway remodeling, increasing susceptibility to asthma exacerbations.  
   - **Reduced Lung Function**: Over time, inflammation may impair lung capacity, contributing to chronic obstructive pulmonary disease (COPD) or irreversible lung damage.

### 6. **Management Implications**  
   - **Anti-Inflammatory Treatments**: Corticosteroids and anti-inflammatory drugs (e.g., leukotriene modifiers) target inflammation to reduce symptoms.  
   - **Controlling Triggers**: Avoiding allergens and managing stress can mitigate inflammation triggers.  
   - **Monitoring and Personalized Care**: Regular check-ups help track inflammation levels and adjust treatment plans.

### Conclusion  
Inflammation is both a cause and a consequence of asthma, driving its pathophysiology. Effective management focuses on reducing inflammation to alleviate symptoms and prevent exacerbations, highlighting its critical role in asthma control. 

This interplay underscores why inflammation management is central to managing asthma effectively.",0.628762,0.710083,0.666953,0.0,0.252174,0.043668,0.134783
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways refers to the body's immune response to irritants, allergens, infections, or other triggers, leading to localized swelling, redness, and increased sensitivity in the respiratory tract. In asthma, this inflammation plays a central role in triggering symptoms like wheezing, coughing, and shortness of breath. Key aspects include:

1. **Swelling and Narrowing**: Inflammatory cells (e.g., mast cells, macrophages) release chemicals that cause the airways to swell and narrow, restricting airflow.  
2. **Mucus Production**: Excess mucus production thickens the airways, further obstructing breathing.  
3. **Immune Activation**: Immune cells release cytokines and other mediators that exacerbate inflammation and constrict smooth muscle in the airways.  
4. **Chronic Process**: In asthma, inflammation often becomes chronic, leading to persistent symptoms and potential damage over time.  

Inflammation in asthma is a hallmark of the condition, driving its pathophysiology and necessitating treatments targeting immune responses and airway remodeling. It distinguishes asthma from other respiratory issues by being a primary driver of its hallmark symptoms.",0.638482,0.771238,0.698609,0.0,0.208333,0.073684,0.166667
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to breathing difficulties. It affects people of all ages, but certain groups are more susceptible or at higher risk:

1. **Children and Adolescents**: Often develop asthma during childhood or adolescence, especially those with allergies, environmental exposures, or genetic predispositions.  
2. **Adults**: Many adults develop asthma due to allergies, pollution, smoking, or hormonal changes (e.g., pregnancy, menopause).  
3. **People with Allergies or Asthma-Related Conditions**: Those with allergies, eczema, or other respiratory issues may be more prone.  
4. **Individuals with Family History**: Genetic factors or a history of asthma in close relatives can increase risk.  
5. **Environmental Exposures**: Exposure to pollutants, dust, smoke, or certain chemicals may trigger asthma in susceptible individuals.  
6. **People with Respiratory Illnesses**: Those with chronic obstructive pulmonary disease (COPD) or other lung conditions may be at higher risk.  

Asthma is not contagious, but it can be triggered by factors like cold air, allergens, stress, or infections. Management often involves medications, lifestyle changes, and avoiding triggers. Let me know if you'd like more details!",0.660597,0.755696,0.704954,0.0,0.283525,0.054054,0.176245
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma often begins at any age, but it most commonly starts in **early childhood**, typically between **2 to 10 years old**. While some individuals may develop asthma later in life or at birth, the majority of cases emerge during this period due to factors like genetic predisposition, environmental triggers (e.g., allergies, pollution), or respiratory infections. Symptoms such as wheezing, coughing, or shortness of breath may first appear in this age range. However, it's important to note that asthma can develop at any age, and diagnosis may occur later if symptoms are mild or intermittent. Early recognition and management are crucial for effective control. 

**Key Points:**
- **Common Age Range:** 2–10 years old.
- **Variability:** Can start at birth, infancy, or later in childhood.
- **Triggers:** Often linked to genetic, environmental, or immunological factors.
- **Management:** Early intervention is key to preventing progression. 

Thus, while not strictly age-bound, early childhood is the most typical onset period.",0.602172,0.76405,0.673521,0.017422,0.184615,0.051813,0.102564
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a chronic condition characterized by inflammation and narrowing of airways, leading to breathing difficulties. Its causes are multifaceted, involving a combination of **genetic, environmental, and lifestyle factors**. Here are the key contributors:

1. **Genetic Factors**:  
   - Family history of asthma or allergic diseases (e.g., allergies, hay fever) increases susceptibility. Some individuals may inherit a predisposition to immune system overreaction.

2. **Environmental Triggers**:  
   - **Allergens**: Pollen, dust mites, pet dander, mold, or pet saliva can trigger allergic reactions.  
   - **Irritants**: Smoke, pollution, chemicals, or certain medications (e.g., antibiotics, antihistamines) may exacerbate symptoms.  
   - **Infections**: Respiratory infections during childhood can disrupt immune development, increasing asthma risk.

3. **Immune System Dysfunction**:  
   - An overactive immune response leads to inflammation and airway narrowing. Some individuals may have a ""hyperreactive"" immune system.

4. **Lifestyle and Behavioral Factors**:  
   - Smoking, exposure to tobacco smoke, or exposure to certain chemicals (e.g., solvents) can worsen asthma.  
   - Obesity or other lifestyle factors may indirectly contribute to inflammation.

5. **Chronic Conditions**:  
   - Conditions like allergies, sinusitis, or cystic fibrosis can increase asthma risk.  

Asthma often develops gradually or suddenly (acute asthma) and can vary in severity. While some factors are modifiable (e.g., avoiding allergens), others (e.g., genetics) may require long-term management. Early diagnosis and personalized treatment are key to managing symptoms effectively. Let me know if you'd like further details!",0.62652,0.733118,0.67564,0.0,0.219931,0.027682,0.109966
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, **asthma is generally classified as a chronic disease**. Here's why:

1. **Persistent Nature**: Asthma involves chronic inflammation of the airways, leading to ongoing issues like airway narrowing, swelling, and difficulty breathing. These symptoms often require long-term management, including medication use (e.g., inhalers, corticosteroids) and lifestyle adjustments.

2. **Recurring Episodes**: While asthma can include acute exacerbations (severe flare-ups), these are typically managed within a structured care plan, reinforcing its chronic character.

3. **Impact on Quality of Life**: Chronic conditions like asthma significantly affect daily functioning, work, and sleep, necessitating continuous care and monitoring.

4. **Medical Classification**: Asthma is recognized as a chronic condition in medical guidelines (e.g., WHO, CDC) due to its long-term management requirements and association with other chronic health issues.

In summary, asthma is a chronic disease requiring ongoing attention, making it a key example of a persistent health condition. Always consult a healthcare provider for personalized care.",0.669928,0.723418,0.695646,0.0,0.228571,0.064748,0.142857
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there can be a risk that asthma may worsen with age, though it varies significantly for individuals. Here's a balanced perspective:

### Key Points:
1. **Age-Related Changes**:  
   - As people age, lung function naturally declines (reduced elasticity, thinner airways), which can exacerbate asthma symptoms.  
   - Immune system changes and chronic inflammation may increase sensitivity to triggers.  
   - Some people experience ""asthma remission"" in later life, while others face persistent issues.

2. **Factors Influencing Outcomes**:  
   - **Severity of Asthma**: Mild-to-moderate asthma often remains manageable with proper control.  
   - **Comorbidities**: Conditions like obesity, diabetes, or COPD can worsen asthma.  
   - **Triggers**: Exposure to allergens, pollution, or stress may become more challenging to manage.  
   - **Lifestyle**: Smoking, poor diet, or lack of exercise can impact control.

3. **Mitigating Factors**:  
   - **Good Control**: Consistent use of inhalers and adherence to treatment plans often prevent progression.  
   - **Health Management**: Regular check-ups, avoiding triggers, and monitoring symptoms help maintain stability.  
   - **Age-Specific Care**: Older adults may benefit from tailored strategies (e.g., inhalers, lifestyle adjustments).

4. **When to Seek Help**:  
   If symptoms worsen despite management, consult a healthcare provider. Age-related changes don’t always mean decline—many manage well with proactive care.

### Recommendation:
- **Monitor Your Asthma**: Track symptoms, triggers, and control levels.  
- **Consult a Specialist**: Discuss age-related concerns with your doctor or an allergist.  
- **Lifestyle Adjustments**: Consider diet, exercise, and stress management.  

Asthma management is highly individual. While age can pose challenges, many people maintain good control with diligence. Prioritize personalized care! 🌟",0.604181,0.75407,0.670855,0.0,0.246988,0.018182,0.114458
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","The relationship between age and asthma severity varies significantly among individuals, and while some people with asthma may experience worsening symptoms as they age, others may manage well. Here's a balanced perspective:

1. **Individual Variability**: Age does not universally ""cause"" worsening asthma. Factors like genetic predisposition, immune system changes, comorbid conditions (e.g., COPD, allergies), and lifestyle play a critical role. Some older adults may maintain stable asthma control, while others face increased challenges due to age-related physiological shifts.

2. **Common Factors Contributing to Worsening Symptoms**:
   - **Immune System Changes**: Age-related immune decline may reduce the body's ability to regulate inflammation, potentially exacerbating asthma.
   - **Reduced Lung Function**: Age-related decline in lung elasticity and ciliary function can increase susceptibility to triggers.
   - **Comorbidities**: Older adults often have other chronic conditions (e.g., COPD, heart disease) that may interact with asthma.
   - **Environmental Exposures**: Increased exposure to pollutants, allergens, or stress can trigger or worsen asthma in older individuals.

3. **Management Considerations**:
   - **Regular Monitoring**: Older adults with asthma should closely track symptoms and adjust treatment (e.g., inhalers, avoiding triggers).
   - **Lifestyle Adjustments**: Managing stress, maintaining a healthy weight, and avoiding smoking or exposure to irritants are crucial.
   - **Medical Guidance**: Consulting a healthcare provider to tailor treatment plans, as age-specific needs may differ.

4. **Not All Asthma is the Same**: While some individuals with asthma may experience worsening symptoms with age, others may adapt well with proper management. The key is individualized care.

In summary, while age can influence asthma outcomes, it is not a guaranteed predictor. Proactive management, personalized care, and regular check-ups are essential for maintaining control. Always consult a healthcare professional for personalized advice.",0.632335,0.697233,0.6632,0.021606,0.272941,0.018913,0.127059
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic, progressive respiratory condition characterized by persistent inflammation and narrowing of the airways, leading to symptoms such as wheezing, breathlessness, chest tightness, and coughing. Below is a structured overview of key aspects known about asthma:

### **1. Definition and Causes**
- **Definition**: Asthma is a heterogeneous group of diseases involving reversible airflow obstruction due to inflammation and hyperresponsiveness of the airways.
- **Causes**: 
  - **Triggers**: Allergies, allergens (pollen, dust mites), cold air, exercise, infections, stress, or irritants (e.g., smoke).
  - **Underlying Factors**: Genetic predisposition, environmental exposures, and immune system dysregulation.
  - **Non-Allergic Triggers**: Not all asthma is allergic; some cases involve non-allergic triggers like pollution or certain medications.

### **2. Symptoms**
- Common symptoms include shortness of breath, wheezing, coughing, chest tightness, and flaring of airways. Severity varies, with some experiencing episodic attacks (asthma attacks) and persistent symptoms.

### **3. Diagnosis**
- **Tests**: Spirometry (to measure airflow obstruction), peak flow monitoring, and spirometry results (e.g., FEV1/FVC ratio < 0.7 indicate obstruction).
- **Diagnosis**: Confirmed via clinical evaluation, exclusion of other conditions, and response testing to medications.

### **4. Management**
- **Medications**:
  - **Short-acting beta-agonists (SABAs)**: For acute relief (e.g., albuterol).
  - **Long-acting bronchodilators**: Daily maintenance (e.g., inhaled corticosteroids).
  - **Inhaled corticosteroids**: Reduce inflammation over time.
  - **Biologics**: Target specific immune pathways (e.g., anti-IgE for allergic asthma).
  - **Lifestyle Adjustments**: Avoid triggers, maintain a healthy weight, and manage stress.
- **Inhalation Devices**: Nebulizers, action-release inhalers, and portable spirometers.

### **5. Complications**
- **Chronic Complications**: Chronic bronchitis, respiratory infections, reduced lung function, and increased risk of cardiovascular issues.
- **Severe Attacks**: Life-threatening exacerbations requiring emergency care.
- **Impact on Quality of Life**: Can limit physical activity, sleep, and daily activities.

### **6. Prognosis and Trends**
- **Prognosis**: Varies; early intervention improves outcomes. Many manage well with consistent treatment.
- **Research Focus**: Personalized medicine, biologics, and non-invasive monitoring (e.g., wearable sensors) are advancing treatment approaches.
- **Global Impact**: Affects millions worldwide, particularly children, though prevalence varies by region.

### **7. Prevention and Education**
- **Prevention**: Identifying and avoiding triggers, regular check-ups, and education on symptom management.
- **Education**: Teaching patients about asthma action plans, medication use, and recognizing emergency symptoms.

### **8. Demographics**
- Prevalent in children (especially children and adolescents) but affects all ages. Urbanization and pollution may exacerbate prevalence in some regions.

### **Key Takeaway**
Asthma is manageable with a multidisciplinary approach, emphasizing individualized care plans. While challenges persist, advancements in treatment and understanding continue to improve outcomes and quality of life for affected individuals.

This overview highlights asthma's complexity, variability, and the importance of tailored management strategies. Let me know if you'd like further details on specific aspects!",0.683308,0.726739,0.704355,0.050119,0.349869,0.062827,0.140992
