indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory condition characterized by inflammation, narrowing, and irritation of the airways, which can lead to recurring episodes of wheezing, shortness of breath, chest tightness, and coughing. These symptoms are often triggered by various factors, including allergens, colds, smoke, exercise, and stress. Asthma can significantly impact a person's quality of life, affecting their ability to breathe normally and perform daily activities. It's important to note that while there's no cure for asthma, managing the condition effectively through medication, lifestyle changes, and preventive measures can help control symptoms and improve overall well-being.",0.767632,0.751128,0.75929,0.0,0.320346,0.087336,0.181818
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways, a key feature of asthma, plays a significant role in its pathophysiology. Here's a simplified explanation:

1. **Swelling and Constriction**: Inflammation causes the airways to become swollen and narrowed, similar to a constriction in a garden hose. This makes it difficult for air to move in and out of the lungs, leading to symptoms like wheezing, coughing, and shortness of breath.

2. **Increased Mucus Production**: Inflammation also triggers the production of excess mucus, which can further obstruct the airways. This mucus can accumulate in the lungs and be expelled, causing coughing.

3. **Increased Sensitivity to Irritants**: Inflammation can make the airways more sensitive to irritants, such as allergens, cold air, or exercise. These triggers can then more easily set off an asthma attack.

4. **Cellular Damage**: Prolonged inflammation can lead to cellular damage, particularly to the smooth muscles surrounding the airways. This damage can make the airways even narrower, increasing the risk of symptoms and hospitalization.

5. **Impaired Lung Function**: Chronic inflammation can gradually reduce lung function, making it harder for the lungs to perform their essential tasks, such as delivering oxygen to the blood.

The management of asthma often involves controlling this inflammation through medications like inhaled corticosteroids, long-acting beta-agonists, and leukotriene modifiers, among others. These drugs help to reduce inflammation, thereby alleviating symptoms and preventing asthma attacks. Regular monitoring of lung function, adherence to treatment plans, and identifying and avoiding triggers are also crucial components of asthma management.",0.680519,0.738036,0.708111,0.055045,0.347826,0.098361,0.184783
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways, as observed in asthma, refers to the body's immune response to irritants or allergens, such as pollen, dust mites, or smoke, that enter the airways. This inflammation is characterized by the following:

1. Swelling: The airways become swollen due to the increased production of mucus, which fills the airways and narrows them, making it harder to breathe.

2. Increased mucus production: The body releases more mucus to help trap irritants and bacteria. In asthma, this excess mucus can further restrict airflow.

3. Thickened, sticky mucus: The mucus becomes thicker and stickier, making it more difficult for the body to expel.

4. Goblet cells' increase: Goblet cells, which produce mucus, multiply in response to the irritants, contributing to the thickening and stickiness of the mucus.

5. Constriction of airways: Inflammation can cause the muscles surrounding the airways to tighten, narrowing the airways and making it harder to breathe.

6. Bronchoconstriction: In some cases, inflammation can also lead to bronchoconstriction, where the muscles around the airways tighten, causing the airways to narrow further.

This inflammatory process is the key to asthma symptoms, including wheezing, coughing, and shortness of breath. Asthma medications, such as bronchodilators and anti-inflammatory drugs, are designed to reduce inflammation and open up the airways, alleviating these symptoms.",0.635575,0.748019,0.687228,0.0,0.146939,0.057613,0.122449
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma can affect people of all ages, but it's most commonly diagnosed in children under the age of 5 and in adults between 20 and 50. However, it can also occur at any age. People with a family history of asthma, allergies, or eczema, or those with a history of respiratory infections are at higher risk. It's also more prevalent in certain ethnic groups, such as Caucasians, and in those living in colder, drier climates. Additionally, people who are overweight or obese, smoke, or have other respiratory conditions like allergies or a history of smoking are also more susceptible to developing asthma.",0.735995,0.763878,0.749677,0.0,0.309392,0.055866,0.176796
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma typically begins in childhood, often during the first two decades of life. However, it can sometimes appear in infancy or even earlier in some cases. The exact age of onset can vary greatly from one person to another, even within the same family. The prevalence of asthma tends to increase with age, and the majority of people first experience symptoms between the ages of 5 and 14. For more accurate information, it's always best to consult with a healthcare professional.",0.697702,0.806675,0.748242,0.0,0.278689,0.016667,0.180328
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a complex, chronic respiratory condition that's not caused by a single factor. Its exact cause is still a subject of ongoing research, but several factors are known to contribute to its development and exacerbation:

1. Genetics: Asthma tends to run in families. If one or both parents have asthma, their child has a higher risk of developing the condition.

2. Environmental factors: Exposure to allergens, air pollution, dust, mold, and irritants like smoke can trigger asthma symptoms.

3. Sensitivity to allergens: People with asthma may have a heightened immune response to allergens such as pollen, dust mites, or pet dander, leading to inflammation in the airways.

4. Smoking and secondhand smoke: Exposure to these substances can increase the risk of developing asthma and worsen symptoms.

5. Respiratory infections: Viral infections, such as the common cold or flu, can trigger asthma symptoms by irritating the airways and causing inflammation.

6. Stress: High levels of stress can trigger asthma symptoms, as stress hormones can exacerbate inflammation in the airways.

7. Physical activity: In some cases, intense physical exercise can trigger asthma symptoms, particularly in individuals with no known asthma triggers.

8. Gender: Boys are more likely to develop asthma than girls, although the gap is closing in recent years.

It's important to note that having these risk factors does not guarantee a person will develop asthma, and many factors can influence the onset and progression of the condition. Regular medical check-ups and early intervention can help manage asthma effectively.",0.668336,0.753564,0.708396,0.0,0.261682,0.062696,0.149533
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is indeed a chronic disease. Asthma involves long-term inflammation of the airways, leading to symptoms like wheezing, coughing, chest tightness, and shortness of breath. These symptoms can recur and vary in severity, and they require ongoing management and treatment to control and prevent acute exacerbations. The chronic nature of asthma means that it typically requires regular monitoring and interventions, such as inhalers, peak flow meters, and, in severe cases, hospitalization or emergency care. Regular follow-ups with healthcare providers are crucial for effective asthma management.",0.744313,0.735706,0.739984,0.0,0.292453,0.066667,0.226415
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there is a risk that asthma may worsen with age. Here are a few factors contributing to this:

1. Chronic Obstructive Pulmonary Disease (COPD) Comorbidity: Older adults are more likely to have other chronic lung diseases like COPD, which can exacerbate asthma symptoms and affect management.

2. Medication Tolerance: As asthma symptoms may be more controlled with current medications, older adults might become less reliant on inhalers, leading to poorer symptom control.

3. Slower Respiratory Rate: The body's response to asthma triggers may slow down with age, causing symptoms to worsen and be less responsive to treatments.

4. Comorbid Conditions: Other age-related health conditions, such as heart disease or diabetes, can influence asthma severity and management.

5. Lifestyle Factors: As people age, they may experience changes in their physical activity levels, weight, and diet, all of which can impact asthma control and exacerbation.

Regular follow-ups with healthcare providers and consistent use of asthma management strategies are crucial to mitigate these potential worsening symptoms as asthma ages.",0.637005,0.698256,0.666226,0.0,0.27907,0.007812,0.147287
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","While it's true that some people may experience more severe asthma symptoms or frequent exacerbations as they age, it's not accurate to say that asthma is inherently worse when one is older. Asthma, a chronic respiratory condition, can affect people of all ages, including children and adults. 

Age-related changes in the lungs, such as a decrease in lung function and a reduced number of airways, can potentially make asthma symptoms more noticeable in older adults. However, the management and treatment of asthma are crucial regardless of age. 

Effective management with regular medical check-ups, timely use of inhalers, and avoidance of triggers are essential for maintaining quality of life and preventing exacerbations in both younger and older individuals with asthma. In fact, age does not diminish the effectiveness of asthma treatments; rather, it underscores the importance of consistent management and regular monitoring.",0.731285,0.727547,0.729411,0.0,0.369863,0.041379,0.150685
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic respiratory condition that affects millions of people worldwide. Here are some key points about asthma:

1. **Characteristics**: Asthma is characterized by inflammation of the airways (bronchial tubes), which can lead to narrowing, swelling, and increased mucus production. This results in symptoms such as wheezing, shortness of breath, chest tightness, and coughing, especially at night or during physical activity.

2. **Triggers**: Common triggers for asthma symptoms include allergens (dust mites, pollen, pet dander), irritants (tobacco smoke, strong odors, air pollution), viral infections, exercise, cold air, stress, and hormonal changes in women.

3. **Diagnosis**: Asthma is typically diagnosed based on a combination of symptoms, medical history, physical examination, and diagnostic tests such as spirometry, which measures lung function.

4. **Treatment**: The primary goal of asthma treatment is to reduce inflammation and control symptoms. This can involve medications like inhaled corticosteroids, bronchodilators, and long-acting beta-2 agonists, as well as avoidance of triggers. Lifestyle changes, such as maintaining a healthy weight, not smoking, and regular exercise, are also crucial in managing asthma.

5. **Prevalence**: Asthma is the most common chronic disease in children, and its prevalence continues to increase globally. It is more common in certain populations, including children under 18, women, and people of Asian, Hispanic, and African descent.

6. **Progression**: In some cases, asthma can progress to more severe forms, such as intermittent, persistent, or severe asthma. Severe asthma is more difficult to control and can lead to frequent hospitalizations and significant impacts on quality of life.

7. **Research**: Ongoing research aims to discover new treatments, better understand asthma mechanisms, and develop personalized asthma management strategies.

8. **Epidemiology**: The World Health Organization (WHO) reports that asthma affects approximately 250 million people worldwide, with an estimated 20 million children under 18 living with the condition.

9. **Treatment Options**: Modern asthma treatments include both pharmacological and non-pharmacological interventions. Pharmacological treatments aim to reduce inflammation, relax muscles in the airways, and open airways. Non-pharmacological interventions can include behavioral therapies, environmental modifications, and devices like peak flow meters.

10. **Complications**: If left untreated or poorly managed, asthma can lead to serious complications, including hospitalization for respiratory failure, acute asthma exacerbations, and increased risk of other chronic diseases.",0.731951,0.752417,0.742043,0.073555,0.412429,0.087819,0.172316
