indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory disease characterized by inflammation and narrowing of the airways, making it difficult for the lungs to expand and allowing air to flow in and out easily. Symptoms can include breathlessness, coughing, wheezing, and chest tightness. Asthma is a complex condition that can be triggered by various factors, including allergens, irritants, physical exertion, and emotional stress. It can lead to recurrent episodes of wheezing, shortness of breath, and chest tightness, which can significantly impact a person's quality of life and ability to perform daily activities.

Asthma is a serious global health problem affecting approximately 300 million people worldwide, with children and young adults being particularly vulnerable. The Global Initiative for Asthma (GINA) was established to improve awareness and management of asthma among healthcare providers, public health authorities, and communities. GINA aims to prevent asthma deaths and minimize the burden of asthma on individuals, families, communities, health systems, and the environment.

Asthma can be managed through various strategies, including the use of inhaled corticosteroids (ICS), long-acting beta-2-agonists (LABA), leukotriene receptor antagonists (LTRA), and biologic therapies. Early diagnosis and effective management of asthma are crucial for preventing the onset of severe exacerbations and reducing the risk of hospitalization and death.

Asthma is a chronic condition, and its management requires ongoing attention and adaptation to changing environmental and genetic factors. The Global Health Observatory (GHO) of the World Health Organization (WHO) provides up-to-date information and resources on asthma and other respiratory diseases, including guidelines, research findings, and tools for healthcare professionals and patients.",0.696221,0.747688,0.721037,0.033986,0.300254,0.076726,0.178117
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways, particularly in the form of Type 2 inflammation, plays a significant role in the development and exacerbation of asthma. Here's how:

1. **Increased Bronchial Tone**: Chronic inflammation in the airways can lead to increased bronchial tone, making the airways more constricted and inflamed.

2. **Airway Hyperresponsiveness**: Inflammation triggers the release of mediators like cytokines, histamines, and prostaglandins, which cause the airways to become hyperresponsive. This means the airways are more sensitive to stimuli like allergens, irritants, or exercise, leading to wheezing, shortness of breath, and coughing.

3. **Increased Mucus Production**: Inflammation also increases the production of mucus, which can further obstruct the airways and reduce airflow.

4. **Airway Remodeling**: Chronic inflammation can lead to changes in the airway wall, such as thickening of the smooth muscle and smooth endothelial cells, and alterations in the airway epithelium. These changes can result in narrower airways and increased mucus production, both of which contribute to airway obstruction and increased airway resistance.

5. **Autoimmune Response**: Some research suggests that an autoimmune response may play a role in the development of asthma, with certain immune cells attacking healthy tissues in the airways.

In summary, inflammation of the airways in asthma leads to a vicious cycle of further inflammation, airway remodeling, and hyperresponsiveness, ultimately causing airway obstruction and symptoms like wheezing, shortness of breath, and coughing.",0.677782,0.723724,0.7,0.052014,0.34104,0.098837,0.202312
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways refers to the body's response to injury or irritation to the airways, which can include allergies, infections, or irritants. This response involves the activation of various cells, such as mast cells, eosinophils, and macrophages, and the release of chemical mediators like histamine, leukotrienes, and prostaglandins, leading to the symptoms of asthma, such as wheezing, shortness of breath, and chest tightness. These inflammatory responses contribute to the narrowing of the airways, causing airflow obstruction, and may also trigger an immune response, further exacerbating the condition.",0.68536,0.774418,0.727173,0.0,0.25,0.084746,0.2
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a chronic respiratory disease that primarily affects children and young adults, with a prevalence of around 300 million cases worldwide. It is more common in boys than girls and tends to occur earlier in life. Approximately 1-2% of children have severe asthma, defined as requiring inhalers at least twice a day and needing hospitalization for asthma exacerbations. Adults can also develop asthma, but the prevalence in this age group is lower, with around 1-2% of adults having severe asthma. Asthma can affect people of any age, race, and ethnicity. It is estimated that around 25% of children with asthma are not diagnosed, and many more have unrecognized asthma. Asthma can be triggered by various factors, including allergens (such as pollen, dust mites, and pet dander), pollutants, infections, exercise, and emotional stress. Regular check-ups, smoking cessation, and maintaining a healthy lifestyle can help prevent and manage asthma.",0.706218,0.764519,0.734213,0.0,0.245614,0.044248,0.157895
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma typically starts to manifest in children between the ages of 2 and 5 years, although it can develop at any age. It usually starts before the age of 5, but some children may not start showing symptoms until later in childhood or even into adolescence. The onset of symptoms can vary, with some children experiencing asthma symptoms from as early as infancy, while others may not show any symptoms until later childhood. It's important to note that not all children with asthma will experience symptoms from the onset, and the age of onset can be influenced by genetics, environmental factors, and overall health. Regular check-ups and monitoring are crucial for managing asthma in children.",0.713386,0.825944,0.76555,0.049918,0.318471,0.116129,0.191083
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a chronic respiratory condition characterized by inflammation, swelling, and narrowing of the airways, making it difficult for the lungs to expand fully. The exact cause of asthma is not fully understood, but it is believed to be a combination of genetic, environmental, and immune system factors.

Several genes have been identified that may influence a person's susceptibility to asthma. These genes are involved in the immune system's response to allergens, such as pollen, dust mites, and pet dander. Genes that affect the lung's ability to clear mucus, such as those related to the cilia (tiny hair-like structures in the lungs that help move mucus out of the airways), may also contribute to asthma development.

Environmental factors, such as allergens, pollution, and irritants, can trigger asthma symptoms by causing an inflammatory response in the airways. Allergens are substances that a person is allergic to, such as pollen, dust mites, pet dander, or mold. These allergens can bind to mast cells in the airways, causing them to release chemicals like histamine, which can lead to inflammation and narrowing of the airways.

Air pollution, particularly particulate matter (PM) and nitrogen dioxide (NO2), can also contribute to asthma symptoms. These pollutants can irritate the airways and cause inflammation, leading to the symptoms associated with asthma.

In addition to genetic and environmental factors, immune system abnormalities and an overactive immune response are thought to play a role in the development of asthma.

In summary, the exact cause of asthma is not fully understood, but it is believed to involve a combination of genetic, environmental, and immune system factors. Allergens, pollution, and immune system abnormalities are thought to contribute to the development of asthma symptoms.",0.667771,0.743517,0.703611,0.03453,0.225989,0.068182,0.146893
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is classified as a chronic disease in the medical field. A chronic disease is a long-term condition that has a persistent symptom or set of symptoms that may not be completely reversible over time. In the case of asthma, the symptoms persist for a significant period and may require ongoing management. The condition can be managed and its symptoms controlled through various treatments, including medications, lifestyle changes, and regular check-ups. Asthma is a significant health concern worldwide, and understanding its chronic nature is crucial for effective management and prevention of its complications.",0.724058,0.699276,0.711451,0.034853,0.318182,0.073394,0.181818
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there is a risk that your asthma may worsen with age. As you age, the likelihood of developing more severe asthma, experiencing a worsening of your current asthma, or developing asthma complications increases. This is due to various factors, including changes in lung function, increased exposure to allergens, and the progression of existing asthma. Regular monitoring and managing your asthma through a comprehensive treatment plan, including medication, inhaler techniques, and lifestyle modifications, can help mitigate this risk and improve your overall asthma control. It's essential to consult your healthcare provider for personalized advice and guidance on managing your asthma as you age.",0.688591,0.702639,0.695544,0.0,0.333333,0.052632,0.229167
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","According to the evidence provided, asthma tends to worsen with age. This is because asthma is often associated with chronic airway inflammation and airway obstruction, which typically worsen with advancing age. The condition progresses due to various factors, including the progression of asthma-related airway inflammation, airway obstruction, and decreased lung function over time. Therefore, it is expected that asthma will become more severe and difficult to manage as you age. However, it's essential to consult a healthcare professional for personalized advice on managing asthma and any age-related changes.",0.725386,0.709785,0.7175,0.0,0.285714,0.042373,0.168067
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic respiratory condition that affects millions of people worldwide. It is characterized by inflammation and narrowing of the airways, leading to recurring episodes of wheezing, chest tightness, and shortness of breath. Asthma is a complex disease, and its causes are not fully understood. However, several factors are known to contribute to the development of asthma, including genetics, environmental factors, and lifestyle choices.

Some key aspects of asthma include:

1. **Triggers**: Common triggers for asthma symptoms include allergens (such as pollen, dust mites, or pet dander), irritants (like tobacco smoke or air pollution), and physical activities (like running or exercise).

2. **Airway hyperresponsiveness**: This is a characteristic feature of asthma, where the smooth muscles surrounding the airways contract more easily than normal, leading to increased airway constriction and wheezing.

3. **Inflammation**: Chronic inflammation of the airways is a hallmark of asthma. This inflammation can be exacerbated by various triggers, and it plays a significant role in the development and progression of the disease.

4. **Asthma-related symptoms**: Common symptoms include shortness of breath, coughing, wheezing, chest tightness, and difficulty breathing, especially during physical activity. Some people may also experience bronchospasm, which causes an abnormal constriction of the airways.

5. **Treatment**: Asthma is typically managed with a combination of medications, including inhaled corticosteroids, beta-agonists, leukotriene modifiers, and oral corticosteroids. The goal of asthma treatment is to reduce symptoms, prevent exacerbations, and prevent the progression of lung damage over time.

6. **Prevalence and impact**: Asthma affects approximately 300 million people worldwide, with the majority of cases occurring in low- and middle-income countries. It significantly impacts quality of life, work productivity, and healthcare costs.

7. **Research and advancements**: Despite significant progress in understanding asthma, it remains a challenging condition. Ongoing research aims to identify new therapeutic targets and develop more effective treatments.

Understanding asthma and its underlying mechanisms is essential for developing better diagnostic methods, personalized treatment strategies, and improved patient outcomes.",0.742458,0.754915,0.748635,0.055409,0.398792,0.063636,0.169184
