indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory condition characterized by persistent inflammation and narrowing of the airways, leading to recurrent wheezing, shortness of breath, chest tightness, and cough. Symptoms vary in intensity and frequency, and can occur at any time, even during sleep. Asthma can be triggered by various factors, including allergens, infections, exercise, cold air, and stress. The diagnosis of asthma involves confirming a pattern of recurrent wheezing, shortness of breath, chest tightness, and cough that vary over time and in intensity, together with variable expiratory airflow. Lung function tests, such as spirometry and bronchial provocation testing, are essential for diagnosis and monitoring. Treatment for asthma includes inhaled corticosteroids, long-acting beta-2 agonists, and, in some cases, combination therapies. The prevalence of asthma varies by sex and age, and it often co-occurs with other chronic respiratory conditions like chronic obstructive pulmonary disease (COPD).",0.724576,0.740276,0.732342,0.0,0.32491,0.065455,0.202166
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways significantly impacts asthma by causing the airways to narrow and swell, making it difficult to breathe. This inflammation is often due to a combination of factors, including allergens, viral infections, and other environmental triggers. Here's how inflammation affects asthma:

1. **Activation of immune cells**: Inflammation triggers the release of various immune cells, such as mast cells and eosinophils, from the bloodstream into the airways. These immune cells release chemicals that cause the airways to swell and narrow, increasing the resistance to airflow.

2. **Release of histamine**: Mast cells release histamine, which causes the smooth muscle lining the airways to contract, further narrowing the airways and making it harder to breathe.

3. **Release of other mediators**: The mast cells and eosinophils release various other chemicals, including leukotrienes and prostaglandins, which contribute to airway inflammation and narrowing.

4. **Alteration of mucus production**: Inflammation also increases the production of mucus in the airways, which can further obstruct airflow and make it harder to breathe.

5. **Impaired airway function**: The inflammation can lead to a decrease in the function of the airways, such as reduced airflow and impaired stretch receptors that help regulate airway tone.

6. **Inability to control asthma**: Inflammation is a key feature of asthma and contributes to the uncontrolled nature of the disease. It can be challenging to manage asthma symptoms and prevent exacerbations due to the ongoing inflammation in the airways.

Asthma medications, particularly inhaled corticosteroids, work by reducing inflammation in the airways. These medications help to decrease the number of immune cells and chemicals released during an asthma flare-up, making it easier to breathe. Thus, managing inflammation through medications and other lifestyle modifications is crucial for controlling asthma symptoms and preventing exacerbations.",0.671256,0.715755,0.692792,0.04338,0.292683,0.093137,0.185366
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways refers to the presence of immune cells and chemical mediators in the airway tissue, which are not typically found in healthy airways. In the context of asthma, inflammation plays a crucial role in the pathogenesis of the disease. It involves several processes, including the recruitment of immune cells such as eosinophils, mast cells, and T lymphocytes to the airways, and the release of pro-inflammatory mediators like cytokines, chemokines, and prostaglandins. These inflammatory cells and their mediators can cause airway hyperresponsiveness, mucus overproduction, and thickening of the airway wall, leading to the symptoms and challenges associated with asthma, such as wheezing, coughing, and shortness of breath. The inflammatory response in asthma is dynamic, with periods of exacerbation and remission, and it is influenced by various factors, including allergens, infections, medications, and environmental exposures.",0.672787,0.766276,0.716495,0.0,0.22619,0.072289,0.154762
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a common condition that affects people of all ages, including children, adolescents, and adults. It is more prevalent in certain populations and under certain conditions. Here are some key points about asthma and its occurrence:

1. **Childhood Asthma**: Up to 60% of children with asthma have the condition from birth, often referred to as ""atopic asthma,"" which is linked to allergies.
2. **Adult-onset Asthma**: Adults can also develop asthma, and this type is often associated with allergens in the environment. It is often referred to as ""allergic or atopic asthma.""
3. **Occupational Asthma**: Certain jobs, such as those involving exposure to chemicals, dusts, or fumes, can lead to occupational asthma, a type of asthma related to specific workplace exposures.
4. **Exercise-Induced Asthma**: This type of asthma is common in adults and is triggered by physical exertion. It is often associated with allergies.
5. **Seasonal Asthma**: This type of asthma is triggered by changes in the environment, such as pollen, mold spores, or air pollution, and typically occurs during specific seasons.
6. **Inflammatory Bowel Disease (IBD)**: People with inflammatory bowel disease, such as Crohn's disease or ulcerative colitis, have a higher risk of developing asthma.
7. **Obesity**: Obesity is associated with an increased risk of developing asthma, particularly in children.

While asthma can affect anyone, certain groups may have a higher risk due to genetic predisposition, environmental factors, or other underlying conditions. It's important to note that these are general trends and individual experiences may vary. Regular check-ups, early diagnosis, and appropriate management can help prevent the progression of asthma and reduce its impact on quality of life.",0.652937,0.749096,0.697719,0.015451,0.233618,0.051576,0.136752
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma typically starts in infancy, often during the first year of life. However, it can also begin in childhood or even persist into adulthood. The exact age of onset can vary from person to person.",0.71429,0.726762,0.720472,0.0,0.213333,0.027397,0.16
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a complex condition with multiple potential causes, and its development is influenced by both genetic and environmental factors. The exact cause of asthma is not fully understood, but several factors contribute to its onset and exacerbation. These include:

1. Genetic predisposition: Asthma tends to run in families, with certain genes playing a role in making a person more susceptible to developing the condition.

2. Environmental factors: Exposure to allergens, such as dust mites, pet dander, pollen, or mold, can trigger asthma symptoms in sensitive individuals.

3. Respiratory viral infections: These infections can lead to inflammation in the airways, potentially causing asthma symptoms to worsen.

4. Immune system response: An overactive immune response, where the body's immune system mistakenly identifies the normal functioning of the lungs as a threat and produces excessive inflammatory cells, can contribute to asthma development.

5. Other medical conditions: Certain chronic conditions, like obesity, allergies, gastroesophageal reflux disease (GERD), and psychological conditions like anxiety and depression, may increase the risk of asthma.

6. Exposure to tobacco smoke and air pollution: These environmental factors can irritate the airways and worsen asthma symptoms.

The relationship between the immune system and asthma is still being researched, but current evidence suggests that the immune system plays a role in the development and progression of asthma.",0.675672,0.766785,0.718351,0.028986,0.272727,0.070423,0.132867
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is considered a chronic disease. It is a long-term condition that affects the airways, causing inflammation, narrowing, and irritation, leading to symptoms such as wheezing, coughing, chest tightness, and shortness of breath. These symptoms can be persistent and can flare up repeatedly over time, requiring ongoing management and treatment. The World Health Organization (WHO) defines asthma as a ""chronic inflammatory disorder of the airways characterized by recurrent episodes of worsening of symptoms and airflow obstruction.""",0.734764,0.707715,0.720986,0.0,0.336634,0.08,0.217822
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there is a risk that asthma may worsen with age. The risk of asthma exacerbations tends to increase with age, particularly in those who develop asthma in adulthood. This is often attributed to factors such as reduced lung function, chronic inflammation, and changes in lifestyle and environment that can exacerbate symptoms and trigger asthma attacks. However, the risk varies among individuals, and many people with asthma can successfully manage their condition into old age with appropriate treatment, medication, and lifestyle adjustments. Regular follow-ups with healthcare providers to monitor and adjust treatment as needed are essential for preventing asthma exacerbations in older adults.",0.708554,0.723561,0.715979,0.0,0.34375,0.031579,0.208333
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Asthma can be present at any age, including in people of advanced years. While age-related changes in lung function and respiratory health can make asthma more challenging to manage, it is not inherently worse for those who are older. However, it is important to note that older adults with asthma may have more complex medical histories, including additional health conditions like cardiovascular disease, which can affect the management and severity of asthma symptoms. Regular follow-ups with healthcare providers and proper management of asthma with medications, lifestyle modifications, and avoiding triggers can help maintain control and reduce the risk of exacerbations in older adults with asthma.",0.735486,0.71158,0.723336,0.0,0.370079,0.031746,0.15748
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic respiratory disease characterized by variable and recurring wheezing, shortness of breath, chest tightness, and coughing, especially at night or during the early morning. It is more common in children than in adults, with the majority of cases beginning in childhood. The exact cause of asthma is not known, but it is believed to be a combination of genetic and environmental factors. Exposure to triggers, such as allergens, cold air, exercise, and irritants, can trigger asthma symptoms in affected individuals.

Asthma symptoms can be controlled with medication, such as inhaled corticosteroids (ICS), long-acting beta-2 agonists (LABA), or a combination of both, as well as bronchodilators to relax the muscles around the airways. However, some people with asthma may still experience symptoms or exacerbations despite treatment. The International Journal of Chronic Obstructive Pulmonary Disease (COPD) and Asthma (COPD-A) study, published in the journal The Lancet Respiratory Medicine, found that the prevalence of asthma was higher in individuals with COPD, suggesting that asthma and COPD share some underlying pathophysiological mechanisms.

The management of asthma involves a comprehensive, individualized approach that includes symptom control, reduction of future risk of exacerbations, and addressing any comorbidities. This may involve adjusting or stepping down ICS dose, replacing or adding bronchodilators, managing asthma through medication adherence, monitoring lung function, and providing support for patients and their families. Furthermore, the recognition and management of comorbidities, such as cardiovascular diseases, depression, or anxiety, is crucial in the long-term management of asthma.",0.707788,0.704096,0.705937,0.066331,0.397959,0.078498,0.176871
