indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic inflammatory lung disease characterized by recurring episodes of wheezing, breathlessness, chest tightness, and coughing. It is a condition in which the airways, also known as bronchioles, become inflamed and narrow, making it difficult for air to pass through. This narrowing can be caused by a combination of factors, including allergens, irritants, infections, and genetic predisposition.

During an asthma attack, the airways become even more inflamed and constricted, leading to difficulty breathing, coughing, and wheezing. In severe cases, asthma can cause shortness of breath, chest tightness, and coughing, which can be distressing and interfere with daily activities.

Asthma is a common condition, affecting millions of people worldwide. While there is no cure for asthma, it can be managed effectively with proper treatment, lifestyle changes, and education. Treatment options include medications to control symptoms, prevent attacks, and prevent exacerbations, as well as lifestyle modifications to reduce triggers and improve overall well-being.",0.740181,0.747228,0.743688,0.085251,0.376307,0.091228,0.188153
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways is a major underlying cause of asthma symptoms. When the airways in the lungs become inflamed, they become swollen, narrowed, and more sensitive to various triggers. This can lead to a range of symptoms, such as coughing, wheezing, chest tightness, and shortness of breath.

Here are some ways in which inflammation affects asthma:

1. **Narrowing of the airways**: The inflamed airways become swollen and narrowed, making it harder for air to flow in and out of the lungs. This can lead to a reduction in airflow and cause symptoms like coughing, wheezing, and chest tightness.

2. **Increased mucus production**: In response to the inflammation, the airways produce more mucus, which can clog the airways and make it harder to breathe. This can lead to a persistent cough and make it harder for you to expel mucus from your lungs.

3. **Increased responsiveness to triggers**: The inflamed airways are more sensitive to various triggers, such as allergens, pollutants, and irritants. When you come into contact with these triggers, your airways can become inflamed and irritated, leading to more severe symptoms.

4. **Increased airway resistance**: Inflammation in the airways can make the airways more resistant to the flow of air, which can lead to increased airway resistance. This can make it harder for your lungs to expand and fill with air, leading to shortness of breath.

5. **Hyperresponsiveness**: The inflamed airways can become highly responsive to even small amounts of inhaled allergens or irritants, leading to an exaggerated allergic response and worsening of symptoms.

Overall, inflammation of the airways is a key underlying cause of asthma symptoms, and controlling inflammation is a critical part of managing the condition. This is why medications such as corticosteroids and leukotriene modifiers are often used to reduce inflammation and alleviate asthma symptoms.",0.692562,0.734044,0.7127,0.067966,0.31829,0.124105,0.180523
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","The document doesn't specifically address the topic of inflammation in the airways in asthma. However, I can provide some basic information on the topic.

Inflammation in the airways is a normal response to injury or infection. It's a part of the body's immune response to protect against harm. In the case of asthma, inflammation in the airways is an abnormal response.

During an asthma attack, the airways become inflamed and swollen, which can lead to a range of symptoms such as wheezing, coughing, and shortness of breath. The inflammation causes the airways to narrow and produce excess mucus, which can further block airflow.

The inflammation is usually caused by allergens, such as pollen, dust mites, or pet dander, but it can also be caused by viral infections or other environmental factors.

Treatment for asthma aims to reduce the inflammation in the airways and prevent or reduce the severity of asthma symptoms. This can be done through the use of medications such as inhaled corticosteroids, which help to reduce inflammation and prevent the airways from becoming inflamed.

I hope this helps! Let me know if you have any further questions.",0.666105,0.76496,0.712118,0.0,0.188341,0.081448,0.143498
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a respiratory disorder characterized by recurring episodes of wheezing, shortness of breath, chest tightness, and coughing. The prevalence of asthma varies across the world, and its incidence has increased over the past few decades. According to the World Health Organization (WHO), asthma affects approximately 300 million people globally, with the majority of cases occurring in low- and middle-income countries.

Asthma is more common in certain populations and regions:

- Adults: Adults between 20 and 50 years old are more likely to develop asthma.
- Children: Asthma is more common in children under the age of 18, especially those who are 5 years old or younger.
- Urban areas: Urban environments tend to have higher rates of asthma compared to rural areas.
- Ethnic minority groups: Certain ethnic minority groups, such as African Americans and Hispanics, are more likely to develop asthma compared to non-Hispanic whites.
- Occupation: Certain occupations, such as those involving exposure to dust, chemicals, or animals, may increase the risk of developing asthma.

It's essential to note that asthma can affect anyone, regardless of age, sex, or ethnicity. Early diagnosis and proper management can help alleviate symptoms and improve quality of life.

Would you like to know more about the diagnosis, treatment, or prevention of asthma?",0.671403,0.748845,0.708012,0.051675,0.27972,0.084507,0.20979
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma is a chronic inflammatory lung disease that can develop at any age, but the majority of asthma cases start in childhood. The prevalence of asthma peaks during childhood, with approximately 15% of school-age children affected. In the United States, about 9% of children aged 4-11 years have asthma, and in developed countries, it is estimated that about 1 in 15 children has asthma.

The exact age at which asthma starts can vary greatly, but it commonly develops during childhood. Research suggests that most children with asthma are diagnosed before the age of 5 years. The most common age range for asthma diagnosis is between 3-6 years of age.

It's worth noting that asthma can also develop in adulthood, but this is less common. In some cases, adult-onset asthma can be triggered by exposure to certain allergens or irritants.

As for the causes of asthma, they are not well understood, but it's believed that a combination of genetic and environmental factors contribute to the development of the disease. These factors may include family history, exposure to allergens, respiratory infections, and environmental pollutants.

In summary, asthma is a common chronic lung disease that can develop at any age, but the majority of cases start during childhood.",0.665761,0.803802,0.728298,0.030086,0.199203,0.064257,0.151394
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a chronic inflammatory lung disease that causes recurring episodes of wheezing, coughing, chest tightness, and shortness of breath. The exact cause of asthma is not known, but it is believed to be a combination of genetic and environmental factors. The most common causes of asthma include:

1. Genetic predisposition: Asthma often runs in families, suggesting that there may be a genetic component to the disease.
2. Environmental factors: Exposure to allergens, irritants, and other environmental factors can trigger asthma symptoms. Common allergens include dust mites, pet dander, mold, and pollen.
3. Respiratory infections: Recurrent respiratory infections, such as bronchitis and pneumonia, can trigger asthma symptoms.
4. Gastroesophageal reflux disease (GERD): GERD can cause inflammation in the airways, leading to asthma symptoms.
5. Hormonal changes: Women are more likely to experience asthma symptoms during pregnancy or during menstruation.
6. Smoking: Smoking is a major risk factor for asthma, and exposure to secondhand smoke can also trigger symptoms.
7. Allergies: Certain allergies, such as allergies to dust mites, mold, and pet dander, can trigger asthma symptoms.

In addition to these factors, research has also shown that there may be other underlying causes of asthma, such as:

* Airway inflammation: The airways in the lungs become inflamed and swollen, making it harder to breathe.
* Increased mucus production: Excess mucus in the airways can clog the airways and make it harder to breathe.
* Muscle spasm: The muscles in the airways can constrict and make it harder to breathe.
* Bronchial hyperresponsiveness: The airways can become overly sensitive and respond to mild stimuli, such as exercise or cold air, by constricting and making it harder to breathe.

Overall, the exact cause of asthma is complex and multifactorial, and research continues to explore the underlying mechanisms that contribute to the development of this disease.",0.646005,0.752192,0.695066,0.0,0.207084,0.065753,0.13079
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","According to the reference document, asthma is classified as a chronic disease. Specifically, the document states:

""Asthma is a chronic inflammatory disease of the airways of the lungs.""

So, yes, asthma is indeed classified as a chronic disease. The document further outlines the different types of chronic asthma, including:

* Mild persistent asthma
* Moderate persistent asthma
* Severe persistent asthma
* Severe refractory asthma (also known as severe asthma)

The document also discusses the importance of long-term control, which is a key aspect of managing chronic asthma.",0.716177,0.693321,0.704564,0.0361,0.287081,0.086957,0.191388
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Asthma is a chronic inflammatory disease of the airways that can start at any age, including infancy. The risk of asthma worsening with age is relatively low, but it can occur in some people.

As people age, the airways of the lungs may narrow slightly over time due to natural wear and tear. This is known as age-related airway remodeling. However, this does not necessarily mean that asthma will worsen.

For most people with asthma, the symptoms and severity of the disease can remain stable or even improve with age. However, there are some age-related factors that can increase the risk of asthma worsening, such as:

* Smoking: Smoking can lead to chronic inflammation and narrowing of the airways, which can worsen asthma symptoms in older adults.
* Medication side effects: Certain medications, such as beta-blockers and certain antidepressants, can cause narrowing of the airways and worsen asthma symptoms in older adults.
* Other health conditions: Certain health conditions, such as chronic obstructive pulmonary disease (COPD), chronic bronchitis, and gastroesophageal reflux disease (GERD), can worsen asthma symptoms in older adults.
* Lifestyle factors: Poor lung function, lack of exercise, and poor nutrition can also contribute to worsening asthma symptoms in older adults.

To manage asthma effectively, it is essential to:

* Follow a treatment plan prescribed by a healthcare provider
* Monitor symptoms and lung function regularly
* Avoid triggers and allergens that can exacerbate asthma symptoms
* Stay physically active and maintain a healthy lifestyle

If you have asthma and are concerned about the risk of worsening with age, it is essential to work closely with your healthcare provider to develop a personalized management plan that takes into account your individual needs and circumstances.",0.683837,0.75856,0.719263,0.0,0.233696,0.027322,0.13587
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Based on the information provided in the document, there is no specific evidence suggesting that asthma worsens with age. However, it is mentioned that asthma can be caused or triggered by various factors, including age. The document does not specifically state that asthma worsens with age, but it does state that some people may experience a condition known as ""age-related asthma"" or ""adolescent-onset asthma."" This is a type of asthma that tends to start in younger people, typically between the ages of 5 to 20 years old, and it can persist into adulthood. Therefore, it is possible that asthma may worsen in some people due to age, but more research is needed to fully understand this relationship.",0.712148,0.688156,0.699947,0.0,0.315789,0.037879,0.142857
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Based on the provided reference document, here are some key points about asthma:

Asthma is a chronic inflammatory lung disease characterized by recurring episodes of wheezing, coughing, chest tightness, and shortness of breath.

The exact causes of asthma are not fully understood, but it is thought to involve a combination of genetic and environmental factors.

The symptoms of asthma can vary in severity and frequency, and may include:

* Coughing
* Chest tightness or pain
* Shortness of breath
* Wheezing (a whistling sound when breathing out)

Asthma can be triggered by various factors, such as:

* Allergens (e.g., dust mites, pollen, pet dander)
* Irritants (e.g., tobacco smoke, pollution, strong odors)
* Exercise
* Emotional state (e.g., anxiety, stress)
* Respiratory infections

Asthma is a highly treatable condition, and various medications are available to help manage symptoms and prevent exacerbations.

Some key statistics about asthma include:

* Approximately 25 million people in the United States have asthma, with about 7 million of those being children.
* Asthma affects approximately 1 in 12 people of European descent, while it is more common in people of African and Asian descent.
* Asthma is a major cause of emergency department visits and hospitalizations.

The diagnosis and management of asthma are important to ensure proper treatment and to minimize the risk of exacerbations and complications.

Some other key points about asthma include:

* Asthma can be classified into different severity levels, including mild, moderate, and severe.
* Asthma is a chronic condition, and while symptoms may come and go, it is essential to continue treatment and work with a healthcare provider to manage the condition.
* With proper treatment, many people with asthma can lead active and productive lives.",0.757394,0.743271,0.750266,0.084835,0.469821,0.091653,0.202284
