indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic condition characterized by reversible airflow obstruction, often triggered by allergens, infections, or irritants, leading to symptoms like wheezing, coughing, or shortness of breath. It varies in severity and can significantly affect daily life, requiring management through medications (e.g., inhalers) and lifestyle adjustments to control symptoms effectively.",0.740401,0.701667,0.720514,0.0,0.195652,0.021978,0.130435
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation plays a central role in asthma by driving the condition's hallmark symptoms and progression. Here's how it affects asthma:

1. **Airway Swelling and Narrowing**: Inflammation causes the lining of the airways to swell, thicken, and narrow. This reduces the space between bronchioles, making it harder for air to pass through, leading to wheezing, shortness of breath, and coughing.

2. **Mucus Production**: Inflammatory cells release substances that increase mucus production. Excessive mucus can block airways, worsening obstruction and triggering more frequent asthma attacks.

3. **Immune Response Activation**: Inflammation involves immune cells (e.g., eosinophils, mast cells) releasing chemicals like histamine and cytokines. These cause vasoconstriction (narrowing airways) and increased sensitivity, amplifying bronchoconstriction and inflammation.

4. **Hyperresponsiveness**: Inflamed airways become overly reactive to triggers (e.g., allergens, exercise), leading to rapid, severe symptoms even without new triggers. This makes asthma unpredictable and exacerbates attacks.

5. **Interaction with Triggers**: Inflammation often coexists with allergies or infections, creating a cycle where inflammation worsens symptoms, and triggers (like pollen) worsen inflammation further.

6. **Impact on Treatment**: Managing inflammation (e.g., via anti-inflammatory medications, allergen avoidance) is critical for controlling asthma. Poor control can lead to chronic issues like irreversible airway damage or reduced lung function.

In summary, inflammation drives asthma's core pathology by altering airway structure and function, making it a key target in both diagnosis and treatment. Understanding this helps in developing strategies to reduce inflammation and improve long-term control.",0.661403,0.725701,0.692061,0.0,0.280992,0.01662,0.132231
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways refers to the body's immune response to irritation, infection, or allergens, leading to changes in the structure and function of the respiratory tract. In asthma, this process is central to the disease's symptoms and progression. Here's a breakdown:

1. **Trigger Activation**: Allergens, viruses, or other irritants activate immune cells (e.g., mast cells, eosinophils) in the airways. These cells release chemicals like histamine, cytokines, and prostaglandins, causing swelling and increased sensitivity.

2. **Structural Changes**: Inflammation thickens mucus production, narrows airways, and increases mucus viscosity, making breathing harder. It also promotes the growth of abnormal cells (e.g., eosinophils), contributing to chronic airway obstruction.

3. **Immune Mediation**: Chronic inflammation disrupts normal airway function, leading to wheezing, shortness of breath, and coughing. It often worsens over time, driving asthma symptoms like recurrent attacks.

4. **Connect to Asthma**: In asthma, persistent inflammation is a key driver of disease severity. It can lead to irreversible airway remodeling, making asthma harder to manage long-term.

In summary, inflammation in asthma reflects the body's attempt to combat triggers but ultimately exacerbates airway narrowing and dysfunction, shaping its clinical presentation. Understanding this process helps guide treatments targeting inflammation (e.g., anti-inflammatory drugs, biologics).",0.62124,0.753835,0.681144,0.0,0.161017,0.059829,0.110169
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma affects individuals across all age groups, including children, adults, elderly individuals, and those with a family history of respiratory conditions. It arises from a combination of genetic predisposition, environmental triggers (e.g., allergens, pollution), and immune system dysfunction. While symptoms often manifest in specific age ranges, asthma can impact anyone, regardless of age, and varies in severity and triggers. Proper diagnosis and management are tailored to individual needs, emphasizing personalized care to alleviate symptoms and prevent complications.",0.677394,0.695919,0.686532,0.0,0.206452,0.013072,0.103226
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma can begin at any age, but it is most commonly diagnosed in early childhood. While some cases emerge at birth or in infancy, many children develop asthma symptoms between **2 to 5 years old**. It can also occur later in life or in adults, though this is less common. The exact age varies based on individual factors, and early identification is key for effective management. 

**Answer:** Asthma often begins in early childhood, typically between **2 to 5 years old**, though it can occur at any age.",0.679287,0.757609,0.716314,0.033452,0.220472,0.064,0.188976
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma arises from a combination of genetic predisposition and environmental triggers. Key causes include:  
- **Allergens** (pollen, dust mites, pet dander) that provoke immune responses.  
- **Infections** (e.g., colds, flu) that may sensitize the immune system.  
- **Air pollution** or **smoke**, which irritate airways.  
- **Physical activity** or **cold air**, sometimes triggering symptoms.  
- **Chronic respiratory infections** or **exposure to irritants** like chemicals.  
- **Underlying conditions** (e.g., asthma itself, eczema) that increase susceptibility.  

Asthma is often underappreciated as a condition, but its development involves immune system dysregulation and inflammation in the airways. While genetics play a role, environmental factors are frequently critical triggers. Proper management addresses these causes to alleviate symptoms.",0.642803,0.728494,0.682971,0.0,0.261364,0.045977,0.125
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, **asthma is a chronic disease**. Here's why:

1. **Persistent Nature**: Asthma involves recurring episodes of airway inflammation, bronchoconstriction, and mucus production, often requiring long-term management. These episodes can last days to weeks and recur frequently over months or years.

2. **Underlying Inflammation**: It is characterized by chronic inflammation of the airways, making it a long-term condition requiring ongoing monitoring and treatment adjustments.

3. **Management Needs**: Asthma management typically involves regular use of medications (e.g., inhalers, corticosteroids), lifestyle modifications, and sometimes emergency interventions, all of which necessitate sustained care.

4. **Variability**: While some individuals experience mild or intermittent asthma, the condition often necessitates lifelong oversight due to its impact on quality of life and potential complications.

In summary, asthma is classified as a chronic condition due to its persistent nature, ongoing management requirements, and the cumulative effects of its triggers and progression. This aligns with its status as a common chronic illness requiring continuous attention.",0.672301,0.726961,0.698563,0.0,0.303887,0.05694,0.14841
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Yes, there can be a risk that asthma may worsen with age, though individual experiences vary widely. Factors such as age-related changes in immune function, comorbid conditions, medication adjustments, or shifts in lifestyle can influence outcomes. Older adults may face challenges in maintaining consistent adherence to treatment or managing symptoms effectively due to physical or cognitive changes. However, many people maintain stable asthma control with proper management, including regular monitoring, personalized care plans, and adherence to prescribed therapies. It’s crucial to consult healthcare providers to assess individual risk factors and tailor strategies, ensuring that age-related considerations are addressed alongside asthma management. While not universal, proactive care can mitigate risks and support long-term well-being.",0.673457,0.718576,0.695285,0.0,0.271845,0.009804,0.145631
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Yes, aging can influence both the **risk** and **severity** of asthma, though individual experiences vary. Here’s a breakdown of key considerations:

### 1. **Increased Risk in Older Adults**  
   - **Comorbidities**: Older adults often have chronic conditions (e.g., heart disease, diabetes, COPD) that may interact with asthma, increasing susceptibility.  
   - **Immune System Changes**: Age-related declines in immune function can reduce the body’s ability to manage allergens or infections, potentially worsening asthma control.  
   - **Lung Function Decline**: Reduced lung elasticity and decreased alveolar surface area may exacerbate symptoms like wheezing or shortness of breath.  

### 2. **Severity and Complications**  
   - **Comorbidities**: Asthma in older adults may coexist with conditions like hypertension, obesity, or diabetes, complicating management.  
   - **Medication Interactions**: Older adults may require higher doses of bronchodilators or corticosteroids, increasing side effects (e.g., osteoporosis, weight gain).  
   - **Reduced Tolerance**: Older individuals may experience heightened sensitivity to triggers (e.g., pollen, smoke) due to age-related respiratory changes.  

### 3. **Age-Specific Challenges**  
   - **Diagnosis Delays**: Symptoms like chronic cough or wheezing may be misattributed to aging-related conditions (e.g., arthritis, osteoporosis).  
   - **Treatment Adjustments**: Longer-term management is often needed due to comorbidities, requiring careful monitoring.  

### 4. **Research Insights**  
   Studies suggest asthma prevalence increases with age, particularly in older adults, possibly due to cumulative exposure to pollutants or lifestyle factors. However, severity may vary: some report milder symptoms in older adults, while others face more frequent exacerbations.  

### Conclusion  
While aging does not universally ""cause"" asthma, it can amplify risks and complicate management due to interplay with comorbidities and physiological changes. Individualized care is critical, balancing symptom control with overall health impacts. Always consult healthcare providers for tailored advice.  

Let me know if you’d like further clarification!",0.618625,0.709305,0.660869,0.020109,0.252927,0.023529,0.112412
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic respiratory condition characterized by reversible airflow obstruction, varying severity, and multifactorial management, often requiring ongoing monitoring and tailored treatment strategies. 

\boxed{Asthma involves reversible airflow obstruction, necessitates personalized care, and is managed through medications like SABA, ICS, and LABA, with emphasis on symptom control and preventing exacerbations.}",0.695142,0.630372,0.661175,0.0,0.123077,0.015464,0.076923
