indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","```
Document Chunks (Each entry has a reference_id, content, and a brief summary of the context)

Key Points:
*   Asthma is a chronic, life-threatening disease that affects a wide range of people, including children, adults, and elderly.
*   It is characterized by a persistent cough, shortness of breath, wheezing, and chest tightness.
*   Asthma symptoms can range from mild to severe, and can be triggered by a variety of factors.
*   The causes of asthma are not fully understood, but they are believed to be related to the development of airway \r\nremodeling, inflammation, and immune dysfunction.
*   Asthma management involves a combination of medications, lifestyle modifications, and other interventions.
*   Asthma can be managed with a combination of medications, lifestyle changes, and other therapies.
*   The management of asthma is a complex process that requires careful consideration of the patient's individual needs and preferences.
*   Asthma can be a treatable disease, but it is important to be aware of the potential risks and benefits of managing asthma.
*   Asthma can be a serious illness that can have long-term consequences for a person's health and well-being.

Key Concepts:
*   Asthma: A chronic, life-threatening disease characterized by a persistent cough, shortness of breath, wheezing, chest tightness, and sometimes a bluish hue to the skin.
*   Asthma symptoms: A range of symptoms that can vary from mild to severe.
*   Asthma risk factors: Factors that can increase the risk of asthma, such as \r\ngenetic predisposition, family history, and environmental exposures.
*   Asthma management: A comprehensive approach to managing asthma that involves medication, lifestyle changes, and other interventions.
*   Asthma control: A management strategy that involves medication, lifestyle modifications, and other interventions to reduce the risk of asthma.
*   Asthma in adults, adolescents, and children: A specific type of asthma characterized by a persistent cough, shortness of breath, wheezing, chest tightness, and sometimes a bluish hue to the skin.
*   Asthma is a serious illness that can have long-term consequences for a person's health and well-being.
*   Asthma can be managed with a combination of medications, lifestyle changes, and other therapies.
*   Asthma is a treatable disease, but it is important to be aware of the potential risks and benefits of managing asthma.
*   Asthma can be a serious illness that can have long-term consequences for a person's health and well-being.

To generate a more comprehensive answer, please provide the Reference Document List.
```",0.673464,0.700569,0.686749,0.018596,0.223909,0.049524,0.140417
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","```
### References

*   [reference_id]
*   [reference_id]
*   [reference_id]
```",0.554364,0.512107,0.532398,0.0,0.0,0.0,0.0
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.",No relevant context found for the query.,0.67911,0.616359,0.646215,0.0,0.052632,0.0,0.052632
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.",No relevant context found for the query.,0.653632,0.55431,0.599887,0.0,0.0,0.0,0.0
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","```
### References

*   GINA 2025_edit.txt
```",0.517778,0.534117,0.525821,0.0,0.0,0.0,0.0
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.",No relevant context found for the query.,0.685441,0.567324,0.620815,0.0,0.052632,0.0,0.026316
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.",No relevant context found for the query.,0.659174,0.548328,0.598663,0.0,0.015267,0.0,0.015267
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.",No relevant context found for the query.,0.654059,0.552523,0.599019,0.0,0.042105,0.0,0.021053
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.",No relevant context found for the query.,0.673564,0.536005,0.596962,0.0,0.025974,0.0,0.025974
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Okay, I'm ready to process the information and generate the references section. I will then use the information from the Context to answer your questions. Please provide the context so I can start.",0.625322,0.538358,0.578591,0.0,0.053619,0.0,0.037534
