indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic inflammatory lung disease characterized by recurrent episodes of wheezing, shortness of breath, chest tightness, and coughing. It is a condition in which the airways in the lungs become inflamed and swollen, making it difficult to breathe. The airways are lined with a layer of mucus that can block the airflow, causing symptoms such as wheezing, chest tightness, and shortness of breath.

Asthma can be triggered by various factors, including allergens, irritants, viruses, and emotional stress. During an asthma attack, the airways become constricted, and the muscles surrounding them tighten, further limiting the airflow. The airways can also become inflamed, leading to more severe symptoms.

Symptoms of asthma can range from mild to severe and may vary in severity from one attack to another. In some cases, asthma can cause life-threatening respiratory failure, but with proper treatment, most people with asthma can lead normal lives.

Asthma can be diagnosed through a combination of a physical examination, medical history, and lung function tests, such as spirometry. Treatment for asthma typically involves bronchodilators, such as inhaled corticosteroids and beta-agonists, to help manage symptoms and prevent exacerbations. In some cases, people with asthma may need to use an asthma action plan to manage their condition and prevent severe symptoms.",0.72902,0.760738,0.744541,0.051826,0.383721,0.081871,0.186047
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Asthma is a chronic inflammatory lung disease characterized by airway hyperresponsiveness, persistent inflammation, and recurrent episodes of wheezing, shortness of breath, chest tightness, and coughing.

Inflammation plays a key role in the development and progression of asthma. The inflammatory process in asthma involves:

1. **Tissue inflammation**: In asthma, the airways become inflamed, which leads to the release of pro-inflammatory cytokines and chemokines. These substances cause the release of more inflammatory molecules, which further exacerbate the inflammation.

2. **Mast cell activation**: Mast cells are immune cells that play a role in allergic reactions. In asthma, mast cells become activated, releasing histamine, heparin, and other inflammatory mediators. This leads to bronchospasm, increased mucus production, and other inflammatory responses.

3. **Neutrophil infiltration**: Neutrophils are white blood cells that help fight infections. In asthma, neutrophils infiltrate the airways, contributing to inflammation and tissue damage.

4. **Eosinophil infiltration**: Eosinophils are white blood cells that play a role in allergic reactions and inflammation. In asthma, eosinophils can infiltrate the airways, contributing to inflammation and tissue damage.

5. **Interleukin-13 (IL-13) and interleukin-4 (IL-4) imbalance**: IL-13 and IL-4 are cytokines that play a role in the inflammatory response. In asthma, an imbalance between these two cytokines can perpetuate inflammation and tissue damage.

6. **Exacerbations**: Chronic inflammation in asthma can lead to bronchial hyperresponsiveness, making the airways more sensitive to various triggers, such as allergens, viruses, and respiratory infections. This can trigger bronchospasm, increased mucus production, and other inflammatory responses.

Overall, chronic inflammation in asthma causes a persistent state of airway hyperresponsiveness, increased mucus production, and tissue damage, leading to recurrent episodes of wheezing, shortness of breath, and other symptoms.

To treat asthma, anti-inflammatory medications and bronchodilators are used to reduce airway inflammation and relax the muscles around the airways, helping to improve symptoms and prevent exacerbations.",0.645454,0.718547,0.680042,0.050962,0.285714,0.075294,0.163934
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways, particularly in the context of asthma, is a complex process that involves various immune cells, chemical mediators, and physical changes in the airway walls. Here's a simplified explanation:

When the airways in the lungs are exposed to irritants or allergens, the body's immune system responds by releasing chemicals called cytokines and chemokines. These chemicals attract white blood cells, such as eosinophils, neutrophils, and mast cells, to the area. The influx of these immune cells triggers a cascade of events that can lead to airway inflammation.

During asthma, the airways become inflamed due to an excessive response of the immune system. The airways become swollen, and the muscles surrounding them constrict, making it harder for air to flow in and out. This leads to:

1. Increased mucus production: Mucus glands in the airways produce more mucus, which can clog the airways and further obstruct airflow.
2. Inflammation: The airways become swollen and inflamed, leading to a decrease in the amount of air that can pass through.
3. Hyperresponsiveness: The airways become more sensitive to stimuli, such as allergens or irritants, and can overreact to these stimuli, leading to an excessive inflammatory response.

The combination of these factors can cause symptoms such as coughing, wheezing, chest tightness, and shortness of breath, which are characteristic of asthma. The inflammation in the airways can also lead to long-term damage, making asthma more difficult to manage over time.",0.645199,0.769327,0.701817,0.0,0.154982,0.066914,0.147601
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","According to the provided text, it is unclear who specifically gets asthma. Asthma is a chronic respiratory condition characterized by recurring episodes of wheezing, coughing, chest tightness, and shortness of breath. It affects people of all ages, but it is most common in children under the age of 18. In the United States alone, about 25.2 million people are currently living with asthma, with approximately 1 in 13 children under the age of 18 having the condition.

The text suggests that asthma can affect people from various walks of life, including adults and children of all ages and ethnicities. However, it does not specify who among these groups tends to develop asthma more frequently.

For more specific information, I would recommend referring to the World Health Organization's or the American Lung Association's asthma guidelines and resources, which may provide more detailed statistics and information on the demographics and prevalence of asthma.",0.672844,0.724001,0.697486,0.0,0.233766,0.026201,0.121212
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","The age at which asthma typically starts is often debated, but the general consensus is that asthma can start at any age. However, asthma is most commonly diagnosed in children, typically between the ages of 2 and 5 years. It can also occur in older children and adults, although it is less common. According to the American Lung Association, the average age of diagnosis for asthma is 5 years old.",0.723297,0.773687,0.747644,0.066846,0.327273,0.12963,0.254545
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","According to the provided document, the exact cause of asthma is not fully understood, but it is thought to involve a combination of genetic and environmental factors. The document states:

""Although asthma is a complex disease, its primary cause is unclear. Environmental factors and genetic factors are thought to interact to produce asthma. However, no single environmental trigger has been identified.""

So, the exact cause of asthma is not known, but it is believed to be the result of a combination of genetic and environmental factors that interact to produce the symptoms of asthma.",0.743997,0.721769,0.732715,0.0,0.319018,0.074534,0.233129
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is a chronic disease. It is a long-term condition that can be managed with treatment, but it cannot be cured. People with asthma have a persistent swelling in the airways of their lungs, which causes symptoms such as wheezing, coughing, and shortness of breath. While asthma symptoms can be controlled with proper treatment, they can come back at any time and cause new symptoms. In some cases, asthma symptoms can be triggered by certain triggers such as allergens, irritants, or viruses, and these triggers can cause asthma attacks. Despite these challenges, there are many effective treatments available to help people with asthma manage their symptoms and live normal, active lives.",0.755599,0.750389,0.752985,0.0,0.362869,0.085106,0.202532
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Asthma can get worse with age, but this is not a universal trend and can vary significantly from person to person. Factors that can contribute to worsening asthma include:

1. Changes in the airways: As we age, the airways in our lungs can change, making it more difficult to breathe.
2. Increased inflammation: Older adults may have increased inflammation in their airways, which can worsen asthma symptoms.
3. Increased exposure to triggers: Older adults may be more likely to be exposed to asthma triggers, such as dust, pollen, or pets, which can exacerbate symptoms.
4. Decreased lung function: As we age, our lung function can decline, which can worsen asthma symptoms.
5. Increased health problems: Older adults may have other health problems that can exacerbate asthma, such as heart disease or chronic obstructive pulmonary disease (COPD).

However, it's also important to note that many people with asthma can continue to manage their symptoms effectively into older age. To minimize the risk of worsening asthma, it's essential to:

1. Manage asthma triggers: Identify and avoid asthma triggers, such as dust, pollen, or pets.
2. Take medication as prescribed: Use medications as directed, including inhalers and medications as needed.
3. Maintain a healthy lifestyle: Regular exercise, a healthy diet, and adequate sleep can help reduce the risk of asthma exacerbations.
4. Stay up-to-date with vaccinations: Vaccines can help prevent respiratory infections, which can trigger asthma symptoms.
5. Monitor symptoms: Keep track of your symptoms and seek medical attention if they worsen or if you experience new symptoms.

It's also important to note that older adults with asthma may need to adjust their treatment plan to manage their symptoms effectively. This may involve adjusting the dose or type of medication, or adding new treatments, such as oral corticosteroids or biologics.",0.661905,0.762166,0.708506,0.017846,0.241026,0.030928,0.128205
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","Research suggests that the prevalence of asthma increases with age, but the severity of the disease can vary across different age groups.

Studies have shown that:

* In children, asthma is most commonly diagnosed during the preschool age (2-5 years old) and tends to peak during the school age (6-12 years old). However, the severity of asthma in children can vary widely, and some children may experience asthma symptoms that are relatively mild.
* In adults, asthma is more common in women than men, and the prevalence of asthma tends to increase with age. Women aged 20-44 years old are more likely to have asthma than men in the same age group. Adults aged 45-64 years old are more likely to experience asthma symptoms, and the risk increases with age after that.
* In older adults (65 years and above), asthma is less common, but when it does occur, it tends to be more severe. Older adults may experience more frequent and severe asthma exacerbations, and may also be more likely to experience hospitalizations and other serious asthma-related complications.

It's worth noting that asthma can be a manageable condition with proper treatment, and many older adults with asthma can lead active and productive lives with good management.

Some factors that can influence the severity of asthma in older adults include:

* Presence of comorbidities, such as heart disease, diabetes, or chronic obstructive pulmonary disease (COPD)
* Presence of allergies or respiratory infections
* Presence of medications, such as beta-blockers, sedatives, or corticosteroids
* Smoking history
* Level of physical activity and overall health

If you or someone you know is experiencing symptoms of asthma, it's essential to consult with a healthcare provider for proper diagnosis and treatment. With the right medication, lifestyle modifications, and self-management strategies, it's possible to effectively manage asthma and maintain a high quality of life, regardless of age.",0.683678,0.712813,0.697941,0.038358,0.303688,0.061002,0.138829
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic inflammatory disease of the airways that affects approximately 300 million people worldwide, with 5.4 million people in the UK being affected by asthma. The exact cause of asthma is unknown, but it is believed to be due to a combination of genetic and environmental factors.

Asthma is characterized by recurring episodes of wheezing, coughing, chest tightness, and shortness of breath. During an asthma attack, the airways become constricted, leading to difficulty breathing and other symptoms. The symptoms can range from mild to severe, and the condition can be triggered by various factors, including allergies, respiratory infections, environmental irritants, and stress.

The main goal of asthma treatment is to prevent and manage symptoms, improve lung function, and reduce the risk of asthma-related complications. Treatment options include avoiding triggers, using medications such as bronchodilators and corticosteroids, and in some cases, surgery.

Several risk factors have been identified for developing asthma, including genetics, environmental factors, and exposure to allergens. A family history of asthma and exposure to indoor allergens such as dust mites, pet dander, and mold can increase the risk of developing asthma. Additionally, exposure to outdoor pollutants, such as tobacco smoke and ozone, can also increase the risk of asthma.

Asthma has a significant impact on quality of life, with many people experiencing reduced activity levels, sleep disturbances, and social isolation due to their condition. In severe cases, asthma can be life-threatening, and prompt treatment is essential to prevent hospitalizations and other complications.",0.724684,0.696735,0.710435,0.052532,0.404762,0.098976,0.183673
