indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways that can lead to symptoms like wheezing, coughing, chest tightness, and shortness of breath. It occurs when the airways become obstructed and inflamed, causing the muscles around the airways to tighten, and the airways produce excessive mucus. This response is triggered by various factors such as allergens, irritants, physical exertion, or underlying health conditions like GERD. Asthma can be mild, moderate, or severe, and it requires regular treatment with inhaled corticosteroids and other medications to manage symptoms and prevent exacerbations.",0.757116,0.737535,0.747197,0.0,0.334802,0.071111,0.167401
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways can significantly impact your asthma in several ways. Here are some key points:

1. **Increased Airway Swelling**: Inflammation can cause the airways to swell, making it difficult for air to move in and out of the lungs. This swelling can lead to symptoms like shortness of breath, coughing, and chest tightness.

2. **Increased Mucous Production**: Inflammation can also increase the amount of mucus produced by the airways. This mucus can accumulate in the airways, making them more susceptible to infections and further inflammation.

3. **Altered Respiratory Patterns**: Inflammation can lead to changes in respiratory patterns. For example, it can cause a slower breathing rate or shallow breathing, which can exacerbate asthma symptoms.

4. **Altered Lung Function**: Inflammation can affect the elasticity of the lungs, making it harder for them to expand and contract. This can lead to a decrease in lung function and a greater risk of asthma exacerbations.

5. **Increased Asthma Symptoms**: Chronic inflammation can contribute to the development of more severe asthma symptoms. For example, it can lead to the development of asthma-related complications like pneumothorax, which is the collapse of the lung.

6. **Increased Risk of Respiratory Infections**: Chronic inflammation can make the airways more susceptible to respiratory infections, such as bronchitis and pneumonia, which can worsen asthma symptoms.

In summary, inflammation of the airways plays a significant role in asthma pathophysiology. It can lead to swelling of the airways, increased mucus production, altered respiratory patterns, impaired lung function, and an increased risk of respiratory infections, all of which can exacerbate asthma symptoms.",0.675599,0.724683,0.699281,0.047761,0.308901,0.094737,0.17801
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways refers to the immune response that occurs when the body's immune system perceives a foreign substance (like allergens or irritants) as a threat and mounts a response to eliminate it. This inflammatory response involves the release of chemicals, such as histamines and prostaglandins, which cause the airways to swell, narrow, and produce mucus. This inflammation can lead to the symptoms associated with asthma, such as shortness of breath, coughing, and wheezing.",0.715212,0.778548,0.745537,0.0,0.299065,0.057143,0.205607
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma can affect people of all ages, but it is more common in children and adolescents. Around 25-30% of all asthmatic children develop adult asthma. However, it is less common in adults than in children. The risk of developing asthma increases with age, and it is more common in individuals who have a family history of asthma. Certain environmental and lifestyle factors can also increase the risk of developing asthma, including exposure to allergens, pollution, and smoking.",0.769829,0.765303,0.767559,0.0,0.322581,0.052288,0.206452
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma usually starts to manifest during the first 6 to 12 years of life. This is when the lungs are developing, and the immune system is becoming more complex, which makes it more susceptible to allergens and irritants that can trigger asthma symptoms. The onset of asthma is often associated with an increased risk of allergic reactions, such as allergic rhinitis and eczema, which can lead to chronic inflammation in the airways.",0.682297,0.749276,0.714219,0.0,0.25,0.0,0.142857
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a chronic inflammatory disease of the airways characterized by recurrent episodes of wheezing, chest tightness, and difficulty breathing, especially during physical activity. The exact cause of asthma is unknown, but it is believed to be multifactorial.

While the exact cause is not fully understood, several factors have been identified as playing a role:

1. **Genetics**: There is a strong genetic component to asthma, and if one or both parents have asthma, there is a higher risk of developing the condition.

2. **Allergens**: Inhaling specific allergens, such as pollen, dust mites, mold, pet dander, or certain foods, can trigger asthma symptoms in susceptible individuals.

3. **Immune System**: An overactive immune response, particularly an overactive type 2 immune response, is thought to play a key role in asthma.

4. **Environmental Factors**: Exposure to air pollution, airborne allergens, and temperature fluctuations can contribute to the development and severity of asthma.

5. **Infectious Agents**: Some asthma exacerbations can be triggered by viral or bacterial infections, which can cause inflammation and irritation of the airways.

6. **Muscle and Airway Tone**: The smooth muscles and airway lining in the lungs can become irritated and thickened due to repeated inflammation, making it harder for air to move through the airways, leading to asthma symptoms.

7. **Airway Epithelial Barrier Dysfunction**: The thin layer of cells lining the airways can become damaged or lose its ability to prevent the spread of bacteria and other substances, leading to a heightened immune response and inflammation.

8. **Gastroesophageal Reflux Disease (GERD)**: In some cases, GERD, an inflammation of the lower esophageal sphincter, can cause asthma symptoms.",0.631638,0.751472,0.686364,0.029193,0.208955,0.066066,0.125373
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Asthma is a chronic disease, specifically a severe, reversible airway inflammatory disease. It is characterized by chronic airway hyperresponsiveness and chronic inflammation, which lead to recurring episodes of airflow limitation and bronchoconstriction. While some patients with asthma may experience mild symptoms, the majority of individuals with asthma have persistent symptoms that require ongoing management. Chronic asthma is a significant global health issue, affecting an estimated 300 million people worldwide. It can significantly impact quality of life, contribute to hospitalizations, and lead to decreased productivity due to frequent hospitalizations or disability. Asthma is a multifactorial disease, involving both genetic and environmental factors. However, understanding and managing asthma as a chronic condition, using a combination of interventions such as short-acting beta-agonists (SABAs), inhaled corticosteroids (ICS), leukotriene receptor antagonists (LTRA), and bronchodilators, are crucial for improving outcomes and reducing the overall burden of asthma.",0.693903,0.727529,0.710318,0.048917,0.292135,0.05283,0.149813
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","While it's true that some older adults may experience a decrease in lung function over time due to factors like age-related changes in the lungs and reduced physical activity, it's important to note that asthma is a chronic condition that doesn't necessarily worsen with age. In fact, asthma can often be well-controlled in older adults with appropriate management and regular monitoring.

Older adults may have underlying conditions like arthritis, heart disease, or diabetes that can affect their lung function, but these conditions usually don't directly cause asthma to worsen. However, it's essential to have regular check-ups with your healthcare provider to monitor your asthma and adjust your treatment plan as needed.

Additionally, many asthma medications can be used safely in older adults with limited side effects. It's always a good idea to discuss any concerns or questions about asthma management with your healthcare provider.",0.717247,0.749935,0.733227,0.0,0.298755,0.041841,0.157676
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","The term ""old"" in the context of asthma often refers to the patient's age at the time of diagnosis, not their age at the time of the asthma attack. Therefore, it is not accurate to say that getting asthma is worse as one ages.

Asthma is a chronic condition that can affect people of all ages, including young adults. The severity and progression of the disease can change over time, but it's not necessarily worse with age. However, older adults may have a higher prevalence of comorbidities, which can exacerbate asthma symptoms.

It's important to note that the severity and impact of asthma can vary greatly from one person to another, regardless of their age. Regular check-ups, proper management, and a healthy lifestyle can help manage symptoms and improve quality of life for people of all ages with asthma.

In summary, there's no age-related correlation between getting asthma and the severity of the condition. Both young and older adults can have asthma, and the management and outcomes can vary widely.",0.719006,0.710562,0.714759,0.0,0.334365,0.062305,0.179567
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic respiratory disease characterized by inflammation and narrowing of the airways, leading to recurrent episodes of wheezing, chest tightness, and shortness of breath. Here are some key points about asthma:

1. **Prevalence**: Asthma is one of the most common chronic diseases affecting both children and adults. According to the Global Initiative for Asthma (GINA), about 200-250 million people worldwide have asthma.

2. **Types**: Asthma is classified into four main types based on the frequency and severity of symptoms:

   - **Atopic asthma**: Prevalent in individuals with a family history of allergic diseases, such as asthma, eczema, or hay fever.
   - **Allergic asthma**: Caused by allergic reactions, often to pollen, dust mites, or pet dander.
   - **Non-allergic asthma**: Triggered by various factors like cold air, exercise, or cold-induced wheezing.
   - **Transient asthma**: Episodic conditions that occur due to triggers like exercise, cold air, or allergens.

3. **Causes**: The exact cause of asthma is not yet fully understood, but it's believed to be a combination of genetic predisposition and environmental factors, such as exposure to allergens, pollutants, or viral infections.

4. **Symptoms**: Common symptoms of asthma include:
   - Wheezing (high-pitched whistling sound when breathing)
   - Chest tightness or feeling short of breath
   - Cough, particularly at night or early in the morning
   - Tightness in the chest
   - Shortness of breath or difficulty breathing
   - Frequent or recurrent asthma attacks

5. **Diagnosis**: Asthma is diagnosed based on a combination of medical history, physical examination, and lung function tests, such as spirometry.

6. **Treatment**: Effective asthma management involves a combination of medications, lifestyle changes, and in some cases, inhalers or bronchodilators. The key components of asthma treatment are:
   - Medications: Inhaled corticosteroids (ICS), leukotriene modifiers, and long-acting beta-2 agonists (LABAs)
   - Lifestyle changes: Avoiding triggers, maintaining a healthy weight, managing stress, and quitting smoking
   - Surgery: In severe cases, pulmonary resection may be considered
   - Pulmonary rehabilitation: Exercise programs to improve lung function and quality of life

7. **Asthma Control**: Asthma control refers to the extent to which a patient's symptoms are effectively managed, measured by various factors, including:
   - Asthma symptoms frequency
   - Asthma control rating (e.g., asthma-related quality of life (ARQL))
   - Asthma medication adherence
   - Asthma-related hospitalizations and emergency department visits

8. **Asthma Uncontrolled**: Asthma uncontrolled is considered to be asthma for which at least one of the following conditions is true:
   - Symptoms persist for more than 12 months, even with treatment
   - Asthma symptoms are severe enough to require emergency department visits or hospitalizations
   - Asthma symptoms and exacerbations cause significant distress or impairment in daily activities",0.717948,0.737157,0.727426,0.055159,0.428947,0.084433,0.160526
