indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","Asthma is a chronic lung condition that affects the airways, which are the tubes that carry air in and out of the lungs. It is characterized by recurring episodes of wheezing, coughing, chest tightness, and shortness of breath. 

In people with asthma, the airways become inflamed and narrowed, making it difficult for air to pass through. This is usually caused by a combination of genetic and environmental factors, such as allergies, irritants, or viral infections. 

During an asthma attack, the airways tighten further, making it harder for air to get in and out of the lungs. This can lead to symptoms like coughing, wheezing, chest tightness, and shortness of breath. If the attack is severe, it can also cause a bluish discoloration of the skin due to lack of oxygen.

However, asthma is not a life-threatening condition. With proper treatment, which often includes medications and lifestyle changes, people with asthma can lead active and normal lives.",0.762742,0.752272,0.757471,0.0,0.427586,0.097222,0.213793
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","Inflammation of the airways is a common aspect of asthma and can significantly worsen symptoms. When the airways become inflamed, they become narrower and less flexible, making it more difficult for air to move in and out of the lungs. This can lead to symptoms such as shortness of breath, chest tightness, and coughing.

The inflammation can be triggered by various factors, such as allergens, respiratory infections, or even stress. When the airways become inflamed, the lining of the airways becomes thicker, producing more mucus than usual. This increased mucus production further reduces the airways' ability to stay open and allows for less air to pass through.

Additionally, the inflammation can also lead to the contraction of the airway muscles, making them squeeze together more tightly. This is known as bronchospasm, and it can further obstruct the airflow in the airways.

Understanding and managing asthma involves both avoiding triggers to reduce inflammation and using medications to control the inflammation itself. This can include bronchodilators to relax the airway muscles and keep them open, and anti-inflammatory medications to reduce the inflammation and mucus production.",0.744072,0.7569,0.750431,0.08559,0.439344,0.138614,0.216393
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","Inflammation in the airways is a common symptom of asthma. When we breathe in, the airways (the tubes that carry air to the lungs) should be relaxed and wide open, allowing for easy breathing. However, in people with asthma, the airways can become inflamed and swollen. This inflammation causes the airways to constrict (or narrow), making it harder for air to move in and out of the lungs. This results in symptoms such as wheezing, coughing, and shortness of breath. The inflammation can also lead to the production of excess mucus, which further blocks the airways and makes breathing difficult.",0.711203,0.773844,0.741202,0.0,0.305344,0.108527,0.244275
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","Asthma is a chronic respiratory condition that can affect anyone, but it's more common in people who have certain risk factors. These factors include:

1. Age: Asthma typically starts in childhood, with 1 in 10 school-age children having asthma. It can also develop in adulthood, but it's less common.

2. Family History: If you have a family history of asthma or allergies, you may be at a higher risk of developing asthma.

3. Environment: People living in areas with high levels of air pollution are more likely to develop asthma. Some research also suggests that people exposed to certain chemicals or allergens early in life may be more at risk.

4. Gender: Historically, more boys than girls had asthma. However, the gap is narrowing, and more girls now have asthma than boys.

5. Socioeconomic Status: People living in low-income areas or those who are obese may be more likely to have asthma. This could be due to a number of factors, including environmental factors and lifestyle.

Remember, if you or a family member have symptoms like coughing, wheezing, shortness of breath, or chest tightness, it's important to consult with a healthcare provider. They can provide a proper diagnosis and help develop an asthma action plan.",0.694917,0.766037,0.728746,0.05128,0.30662,0.070175,0.160279
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","Asthma can start at any age, but it's most common in children. Symptoms can begin in infancy, but in many cases, symptoms will be triggered later in childhood. Typically, asthma in children begins between the ages of 2 and 5 years old. In children, asthma often lasts throughout their lives and is typically controlled with medications and lifestyle modifications. In adults, asthma is less common, typically starting in their 30s or 40s, often triggered by factors such as allergies, irritants, or viral infections.",0.710017,0.771299,0.73939,0.074285,0.306452,0.081967,0.225806
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","Asthma is a chronic respiratory condition characterized by recurring episodes of wheezing, shortness of breath, chest tightness, and coughing. The exact cause of asthma is not yet fully understood, but it is believed to involve a combination of genetic and environmental factors.

1. Genetic Factors: Asthma can have a strong genetic component. Individuals with a family history of asthma are more likely to develop the condition. Specific genes, such as those involved in the immune response and lung function, may play a role in the development of asthma.

2. Environmental Factors: Exposure to certain environmental triggers can cause inflammation and constriction of the airways, leading to asthma symptoms. These triggers include:

   - Allergy: In some cases, asthma symptoms are triggered by allergens, such as pollen, dust mites, pet dander, or mold.
   - Respiratory infections: Repeated respiratory infections can lead to inflammation and scarring of the airways, making asthma more difficult to control.
   - Air pollution: Exposure to pollutants such as tobacco smoke, vehicle emissions, and industrial chemicals can trigger asthma symptoms.
   - Cold air: Cold air can cause airways to constrict, leading to asthma symptoms in some individuals.
   - Stress: Stress can worsen asthma symptoms in some people.

It's important to note that while these factors can contribute to the development of asthma, they do not cause the condition. Many people with asthma have no known family history, and a thorough evaluation by a healthcare provider can help determine the underlying cause of symptoms.",0.686598,0.789108,0.734293,0.041057,0.265372,0.104235,0.200647
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","Yes, asthma is a chronic disease. It is a long-term condition that affects the airways in your lungs, causing them to become inflamed and narrowed. This can make it difficult to breathe, leading to symptoms like coughing, wheezing, chest tightness, and shortness of breath. While there is no cure for asthma, it can be managed with proper treatment and lifestyle changes.",0.755468,0.72064,0.737643,0.0,0.301075,0.076087,0.193548
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","Asthma can indeed change over time and become more difficult to manage as you age. However, this is not a guarantee, and many adults continue to manage their asthma effectively throughout their lives.

Asthma is a chronic condition characterized by inflammation and narrowing of the airways, leading to symptoms such as coughing, wheezing, chest tightness, and shortness of breath. While it's true that asthma symptoms can worsen over time, this can be due to a variety of factors including environmental triggers, the progression of the underlying inflammation, or side effects of medications.

Managing asthma often involves lifestyle modifications, regular medication, and keeping track of symptoms. Regular check-ups with your healthcare provider can help monitor your condition and adjust treatment as needed. 

Remember, it's always important to be open with your healthcare provider about any changes you notice in your condition, no matter how small they might seem.",0.660045,0.703779,0.681211,0.0,0.260504,0.008475,0.12605
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","No, asthma is not necessarily worse when you get older. While some people may experience an increase in symptoms as they age, many people continue to manage their asthma effectively as they get older. However, it's important to note that older adults may experience different asthma symptoms or may require different treatment options than younger adults.

For example, older adults may be more likely to experience nighttime awakenings due to asthma, which can affect their quality of life. They may also be more likely to experience symptoms such as cough, chest tightness, and shortness of breath, which can be more difficult to manage.

In addition, older adults may be more likely to have comorbidities, such as heart disease, diabetes, or kidney disease, which can affect their asthma management. It's important for older adults with asthma to work closely with their healthcare provider to manage their symptoms and adjust their treatment plan as needed.

In general, the key to managing asthma effectively as you get older is to ensure regular follow-up with your healthcare provider, to monitor your condition closely, and to adjust your treatment plan as necessary.",0.715495,0.717689,0.71659,0.030532,0.296736,0.035821,0.124629
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","Asthma is a chronic lung disease that affects the airways, or tubes that carry air in and out of the lungs. It's characterized by recurring episodes of wheezing, coughing, chest tightness, and shortness of breath. These symptoms can range from mild to severe and are often triggered by various factors.

Asthma can be inherited, and once diagnosed, it requires ongoing treatment to manage symptoms and prevent severe attacks. Treatment often involves medications to reduce inflammation and muscle spasms in the airways, as well as lifestyle changes such as avoiding allergens, exercising regularly, and getting enough sleep.

In recent years, research has focused on understanding the role of genetics, environmental factors, and the immune system in the development of asthma. Scientists are also exploring potential new treatments, such as biologic medications that target specific proteins in the immune system.

It's important to seek medical attention if symptoms of asthma are severe or recurring, as prompt treatment can prevent more serious complications. Early detection and proper management of asthma can help people with the condition to lead active, normal lives.",0.721013,0.680703,0.700278,0.029764,0.342967,0.069632,0.16185
